,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Match Number,Alliance,Robot #,Team,Has Entry,No Show,Starting Position,Auto Primary Role,Auto Secondary Role,Auto Fuel %,Auto Fuel % Alliance,Auto Fuel Alliance,Auto Fuel Team,Auto % Shooting,Auto Max Fuel Possible,Won Auto,Transition Primary Role,Transition Secondary Role,Transition Fuel %,Transition Fuel % Alliance,Transition Fuel Alliance,Transition Fuel Team,Transition % Shooting,Transition Max Fuel Possible,Shift 1 Primary Role,Shift 1 Secondary Role,Shift 1 Fuel %,Shift 1 Fuel % Alliance,Shift 1 Fuel Alliance,Shift 1 Fuel Team,Shift 1 % Shooting,Shift 1 Max Fuel Possible,Shift 2 Primary Role,Shift 2 Secondary Role,Shift 2 Fuel %,Shift 2 Fuel % Alliance,Shift 2 Fuel Alliance,Shift 2 Fuel Team,Shift 2 % Shooting,Shift 2 Max Fuel Possible,Shift 3 Primary Role,Shift 3 Secondary Role,Shift 3 Fuel %,Shift 3 Fuel % Alliance,Shift 3 Fuel Alliance,Shift 3 Fuel Team,Shift 3 % Shooting,Shift 3 Max Fuel Possible,Shift 4 Primary Role,Shift 4 Secondary Role,Shift 4 Fuel %,Shift 4 Fuel % Alliance,Shift 4 Fuel Alliance,Shift 4 Fuel Team,Shift 4 % Shooting,Shift 4 Max Fuel Possible,Endgame Primary Role,Endgame Secondary Role,Endgame Fuel %,Endgame Fuel % Alliance,Endgame Fuel Alliance,Endgame Fuel Team,Endgame % Shooting,Endgame Max Fuel Possible,Tele-Op Max Fuel Possible,Total Fuel Scored,Auto Climb Attempt,Auto Climb Success,Tele-Op Climb Attempt,Tele-Op Climb Success,Shooter Rating,Passer Rating,Intake Rating,Driver Rating,Defense Avoidance Rating,Defense Rating,Notes,Recent Match
2,Red,2,8590,1,,Hub,Idle,None,0%,110%,37,0.00,0%,0.00,TRUE,Defense,Pass,0%,0%,9,3.00,0%,0.00,Pass,None,0%,0%,0,0.00,0%,0.00,Defense,Pass,0%,130%,67,0.00,0%,0.00,Defense,None,0%,0%,0,0.00,0%,0.00,Defense,Idle,0%,130%,51,0.00,0%,0.00,Idle,Defense,0%,70%,20,0.00,0%,0.00,0.00,3.00,Not Attempted,None,Not Attempted,None,0,0,0,1,0,1,Idle most of the time and horrible defense it didn’t help at all it seemed to try pushing bots failed and got trapped between 2 bots and when it got out it was useless.,FALSE
2,Red,3,4472,1,,Right Trench,Score,None,70%,110%,37,23.55,100%,23.55,TRUE,Intake from Neutral Zone,Pass,0%,0%,9,3.00,0%,0.00,Intake from Neutral Zone,Pass,0%,0%,0,0.00,0%,0.00,Score,None,70%,130%,67,36.08,100%,36.08,Intake from Neutral Zone,Pass,0%,0%,0,0.00,0%,0.00,Score,None,70%,130%,51,27.46,100%,27.46,Score,None,70%,70%,20,20.00,100%,20.00,107.08,110.08,Not Attempted,None,Not Attempted,None,4,0,4,3,0,0,,FALSE
3,Blue,1,346,1,,Left Trench,Intake from Neutral Zone,Score,90%,100%,35,31.50,33.3%,94.59,TRUE,Pass,Intake from Neutral Zone,0%,100%,0,0.00,0%,0.00,Score,Intake from Neutral Zone,60%,100%,0,0.00,66.7%,0.00,Intake from Neutral Zone,Intake from Neutral Zone,0%,100%,100,0.00,0%,0.00,Intake from Neutral Zone,Intake from Neutral Zone,0%,100%,0,0.00,0%,0.00,Score,Score,60%,100%,46,27.60,100%,27.60,Score,Score,60%,100%,71,42.60,100%,42.60,164.79,101.70,Not Attempted,None,Not Attempted,None,4,4,3,5,0,0,,FALSE
3,Blue,2,1086,1,,Right Trench,Pass,Score,20%,100%,35,7.00,33.3%,21.02,TRUE,Intake from Neutral Zone,Idle,0%,100%,0,0.00,0%,0.00,Defense,Score,0%,100%,0,0.00,33.3%,0.00,Score,Score,30%,100%,100,30.00,100%,30.00,Intake from Neutral Zone,Intake from Neutral Zone,0%,100%,0,0.00,0%,0.00,Score,Score,40%,100%,46,18.40,100%,18.40,Score,None,40%,100%,71,28.40,100%,28.40,97.82,83.80,Not Attempted,None,Not Attempted,None,5,4,3,4,1,1,kinda chud driver but good bot,FALSE
3,Blue,3,2068,0,,,,,0%,100%,35,0.00,0%,0.00,TRUE,,,0%,100%,0,0.00,0%,0.00,,,0%,100%,0,0.00,0%,0.00,,,0%,100%,100,0.00,0%,0.00,,,0%,100%,0,0.00,0%,0.00,,,0%,100%,46,0.00,0%,0.00,,,0%,100%,71,0.00,0%,0.00,0.00,0.00,,None,,None,,,,,,,,FALSE
3,Red,1,10224,1,,Left Trench,Intake from Neutral Zone,Score,30%,70%,31,13.29,33.3%,39.90,FALSE,Intake from Neutral Zone,None,0%,40%,0,0.00,0%,0.00,Score,None,40%,70%,60,34.29,100%,34.29,Intake from Neutral Zone,None,0%,30%,0,0.00,0%,0.00,Score,None,0%,0%,37,12.33,100%,12.33,Intake from Neutral Zone,None,0%,0%,0,0.00,0%,0.00,Score,None,70%,70%,34,34.00,100%,34.00,120.52,93.90,Not Attempted,None,Not Attempted,None,3,2,3,5,2,0,Not bad,FALSE
3,Red,2,1111,1,,Hub,Idle,None,0%,70%,31,0.00,0%,0.00,FALSE,Intake from Neutral Zone,None,10%,40%,0,0.00,0%,0.00,Idle,None,0%,70%,60,0.00,0%,0.00,Idle,None,0%,30%,0,0.00,0%,0.00,Score,None,0%,0%,37,12.33,100%,12.33,Idle,Score,0%,0%,0,0.00,33.3%,0.00,Score,None,0%,70%,34,0.00,100%,0.00,12.33,12.33,Not Attempted,None,Not Attempted,None,1,0,1,1,1,0,Moving around trying to intake it was bad and when they tried to shoot their accuracy and the number of balls that went in in total seemed to be at most 10 they failed to avoid defense that wasn’t really defense.,FALSE
3,Red,3,5549,1,,Hub,Score,None,40%,70%,31,17.71,100%,17.71,FALSE,Score,None,30%,40%,0,0.00,100%,0.00,Score,None,30%,70%,60,25.71,100%,25.71,Defense,None,30%,30%,0,0.00,0%,0.00,Defense,None,0%,0%,37,12.33,0%,0.00,Defense,None,0%,0%,0,0.00,0%,0.00,Defense,None,0%,70%,34,0.00,0%,0.00,43.43,55.76,Not Attempted,None,Not Attempted,None,3,0,2,3,0,3,Ok. Don't pick probably.,FALSE
4,Blue,1,5804,1,,Left Trench,Intake from Neutral Zone,Score,20%,100%,13,2.60,33.3%,7.81,FALSE,Score,Score,100%,100%,6,6.00,100%,6.00,Score,Score,20%,100%,24,4.80,100%,4.80,Intake from Neutral Zone,Intake from Neutral Zone,0%,100%,0,0.00,0%,0.00,Score,Score,0%,100%,56,0.00,100%,0.00,Intake from Neutral Zone,Intake from Neutral Zone,0%,100%,0,0.00,0%,0.00,Score,Score,10%,100%,31,3.10,100%,3.10,21.71,16.50,Not Attempted,None,Not Attempted,None,2,0,1,2,0,0,,FALSE
4,Blue,2,2537,1,,Right Trench,Intake from Neutral Zone,Idle,0%,100%,13,0.00,0%,0.00,FALSE,Score,Intake from Neutral Zone,30%,100%,6,1.80,66.7%,2.70,Intake from Neutral Zone,Score,30%,100%,24,7.20,33.3%,21.62,Defense,Intake from Neutral Zone,0%,100%,0,0.00,0%,0.00,Score,Score,0%,100%,56,0.00,100%,0.00,Pass,Pass,0%,100%,0,0.00,0%,0.00,Score,Intake from Neutral Zone,20%,100%,31,6.20,66.7%,9.30,33.62,15.20,Not Attempted,None,Not Attempted,None,2,3,2,4,2,1,,FALSE
4,Blue,3,3361,0,,,,,0%,100%,13,0.00,0%,0.00,FALSE,,,0%,100%,6,0.00,0%,0.00,,,0%,100%,24,0.00,0%,0.00,,,0%,100%,0,0.00,0%,0.00,,,0%,100%,56,0.00,0%,0.00,,,0%,100%,0,0.00,0%,0.00,,,0%,100%,31,0.00,0%,0.00,0.00,0.00,,None,,None,,,,,,,,FALSE
4,Red,1,1731,1,,Hub,Idle,None,0%,90%,97,0.00,0%,0.00,TRUE,Score,Intake from Neutral Zone,0%,110%,21,0.00,66.7%,0.00,Intake from Neutral Zone,None,0%,70%,0,0.00,0%,0.00,Score,None,50%,160%,134,41.88,100%,41.88,Intake from Neutral Zone,None,0%,0%,0,0.00,0%,0.00,Score,None,50%,140%,104,37.14,100%,37.14,Score,None,70%,160%,70,30.62,100%,30.62,109.64,109.64,Not Attempted,None,Not Attempted,None,4,3,4,4,0,0,Good,FALSE
4,Red,2,4099,1,,Left Trench,Intake from Neutral Zone,Score,70%,90%,97,75.44,33.3%,226.56,TRUE,Score,Idle,70%,110%,21,13.36,66.7%,20.04,Intake from Neutral Zone,None,70%,70%,0,0.00,0%,0.00,Score,None,70%,160%,134,58.62,100%,58.62,Intake from Neutral Zone,None,0%,0%,0,0.00,0%,0.00,Score,None,60%,140%,104,44.57,100%,44.57,Score,Intake from Neutral Zone,60%,160%,70,26.25,66.7%,39.36,389.15,218.25,Not Attempted,None,Not Attempted,None,4,0,3,4,0,0,Decent in taking good shooter accurate high unload speed and can store a lot of balls in their hopper their team was ok and helped them get quite a bit of points.,FALSE
4,Red,3,2199,1,true,Right Trench,Score,None,20%,90%,97,21.56,100%,21.56,TRUE,Score,None,40%,110%,21,7.64,100%,7.64,Intake from Neutral Zone,None,0%,70%,0,0.00,0%,0.00,Score,None,40%,160%,134,33.50,100%,33.50,Intake from Neutral Zone,None,0%,0%,0,0.00,0%,0.00,Score,None,30%,140%,104,22.29,100%,22.29,Score,None,30%,160%,70,13.13,100%,13.13,98.10,98.10,Not Attempted,None,Not Attempted,None,4,0,4,4,0,0,Pretty good lowk. But bad auto.,FALSE
5,Blue,1,10679,1,,Hub,Idle,Idle,0%,100%,24,0.00,0%,0.00,FALSE,Intake from Neutral Zone,Intake from Neutral Zone,0%,100%,0,0.00,0%,0.00,Defense,Defense,0%,100%,64,0.00,0%,0.00,Defense,Defense,0%,100%,0,0.00,0%,0.00,Defense,Defense,0%,100%,82,0.00,0%,0.00,Defense,Defense,0%,100%,0,0.00,0%,0.00,Defense,Defense,0%,100%,60,0.00,0%,0.00,0.00,0.00,Not Attempted,None,Not Attempted,None,0,0,0,2,0,2,Very bad defense ,FALSE
5,Blue,2,1389,1,,Left Bump,Intake from Neutral Zone,Score,20%,100%,24,4.80,33.3%,14.41,FALSE,Intake from Neutral Zone,Defense,0%,100%,0,0.00,0%,0.00,Score,Score,30%,100%,64,19.20,100%,19.20,Pass,Pass,0%,100%,0,0.00,0%,0.00,Idle,Idle,0%,100%,82,0.00,0%,0.00,Score,Score,30%,100%,0,0.00,100%,0.00,Score,Score,20%,100%,60,12.00,100%,12.00,45.61,36.00,Not Attempted,None,Not Attempted,None,2,1,2,3,0,0,,FALSE
5,Blue,3,122,0,,,,,0%,100%,24,0.00,0%,0.00,FALSE,,,0%,100%,0,0.00,0%,0.00,,,0%,100%,64,0.00,0%,0.00,,,0%,100%,0,0.00,0%,0.00,,,0%,100%,82,0.00,0%,0.00,,,0%,100%,0,0.00,0%,0.00,,,0%,100%,60,0.00,0%,0.00,0.00,0.00,,None,,None,,,,,,,,FALSE
5,Red,1,5724,1,,Hub,Score,None,40%,80%,38,19.00,100%,19.00,TRUE,Idle,None,0%,100%,28,0.00,0%,0.00,Intake from Neutral Zone,None,0%,30%,0,0.00,0%,0.00,Score,None,10%,120%,75,6.25,100%,6.25,Idle,None,0%,0%,0,0.00,0%,0.00,Pass,Defense,0%,100%,59,0.00,0%,0.00,Pass,None,0%,110%,82,0.00,0%,0.00,25.25,25.25,Not Attempted,None,Not Attempted,None,1,1,1,1,0,0,The most ass team here,FALSE
5,Red,2,11318,1,,Right Bump,Score,Idle,20%,80%,38,9.50,66.7%,14.24,TRUE,Score,None,30%,100%,28,8.40,100%,8.40,Intake from Neutral Zone,None,30%,30%,0,0.00,0%,0.00,Score,None,40%,120%,75,25.00,100%,25.00,Intake from Neutral Zone,None,0%,0%,0,0.00,0%,0.00,Score,None,40%,100%,59,23.60,100%,23.60,Score,None,40%,110%,82,29.82,100%,29.82,101.06,96.32,Not Attempted,None,Not Attempted,None,3,0,3,3,0,0,Couldn’t get accurate shoots but had about 40% most of the end game for their teams balls in the hub.,FALSE
5,Red,3,422,1,,Hub,Score,None,20%,80%,38,9.50,100%,9.50,TRUE,Score,None,70%,100%,28,19.60,100%,19.60,Intake from Neutral Zone,None,0%,30%,0,0.00,0%,0.00,Score,None,70%,120%,75,43.75,100%,43.75,Intake from Neutral Zone,None,0%,0%,0,0.00,0%,0.00,Score,None,60%,100%,59,35.40,100%,35.40,Score,None,70%,110%,82,52.18,100%,52.18,160.43,160.43,Not Attempted,None,Not Attempted,None,4,0,4,4,0,0,,FALSE
6,Blue,1,836,1,,Hub,Score,Intake from Neutral Zone,50%,100%,73,36.50,66.7%,54.72,TRUE,Score,Score,100%,100%,41,41.00,100%,41.00,Pass,Intake from Neutral Zone,0%,100%,0,0.00,0%,0.00,Score,Score,60%,100%,129,77.40,100%,77.40,Pass,Intake from Neutral Zone,0%,100%,0,0.00,0%,0.00,Score,Score,30%,100%,110,33.00,100%,33.00,Score,Score,50%,100%,70,35.00,100%,35.00,241.12,222.90,Not Attempted,None,Not Attempted,None,5,5,5,5,0,0,The goats ,FALSE
6,Blue,2,3939,1,,Hub,Score,Score,10%,100%,73,7.30,100%,7.30,TRUE,Intake from Neutral Zone,Intake from Neutral Zone,0%,100%,41,0.00,0%,0.00,Intake from Neutral Zone,Pass,0%,100%,0,0.00,0%,0.00,Score,Score,10%,100%,129,12.90,100%,12.90,Intake from Neutral Zone,Pass,0%,100%,0,0.00,0%,0.00,Score,Score,20%,100%,110,22.00,100%,22.00,Intake from Neutral Zone,Score,20%,100%,70,14.00,33.3%,42.04,84.24,56.20,Not Attempted,None,Not Attempted,None,3,2,2,4,1,0,slow drivetrain,FALSE
6,Blue,3,614,0,,,,,0%,100%,73,0.00,0%,0.00,TRUE,,,0%,100%,41,0.00,0%,0.00,,,0%,100%,0,0.00,0%,0.00,,,0%,100%,129,0.00,0%,0.00,,,0%,100%,0,0.00,0%,0.00,,,0%,100%,110,0.00,0%,0.00,,,0%,100%,70,0.00,0%,0.00,0.00,0.00,,None,,None,,,,,,,,FALSE
6,Red,1,5587,1,,Left Trench,Score,None,0%,70%,29,0.00,100%,0.00,FALSE,Idle,None,0%,10%,3,0.00,0%,0.00,Idle,None,0%,70%,56,0.00,0%,0.00,Idle,None,0%,60%,0,0.00,0%,0.00,Idle,None,0%,0%,56,18.67,0%,0.00,Idle,None,0%,80%,0,0.00,0%,0.00,Idle,None,0%,90%,37,0.00,0%,0.00,0.00,18.67,Not Attempted,None,Not Attempted,None,1,0,0,2,0,0,Very bad,FALSE
6,Red,2,619,1,,Right Trench,Score,Intake from Neutral Zone,60%,70%,29,24.86,66.7%,37.27,FALSE,Intake from Neutral Zone,None,0%,10%,3,0.00,0%,0.00,Score,Intake from Neutral Zone,60%,70%,56,48.00,66.7%,71.96,Intake from Neutral Zone,Pass,60%,60%,0,0.00,0%,0.00,Score,None,0%,0%,56,18.67,100%,18.67,Intake from Neutral Zone,Score,60%,80%,0,0.00,33.3%,0.00,Score,None,60%,90%,37,24.67,100%,24.67,152.56,116.19,Not Attempted,None,Not Attempted,None,4,2,4,4,0,0,Their battery was probably almost dead because at the end their robot moved extremely slowly and stoped shooting fast can intake and shoot well pretty good robot overall.,FALSE
6,Red,3,620,1,,Hub,Score,None,10%,70%,29,4.14,100%,4.14,FALSE,Idle,None,10%,10%,3,3.00,0%,0.00,Defense,None,10%,70%,56,8.00,0%,0.00,Defense,None,0%,60%,0,0.00,0%,0.00,Score,None,0%,0%,56,18.67,100%,18.67,Defense,None,20%,80%,0,0.00,0%,0.00,Score,None,30%,90%,37,12.33,100%,12.33,35.14,46.14,Not Attempted,None,Not Attempted,None,3,0,4,3,0,0,,FALSE
7,Blue,1,11425,1,,Hub,Idle,Idle,0%,100%,38,0.00,0%,0.00,FALSE,Defense,Defense,0%,100%,3,0.00,0%,0.00,Defense,Defense,0%,100%,16,0.00,0%,0.00,Defense,Defense,0%,100%,0,0.00,0%,0.00,Defense,Pass,0%,100%,76,0.00,0%,0.00,Defense,Defense,0%,100%,0,0.00,0%,0.00,Defense,Defense,0%,100%,46,0.00,0%,0.00,0.00,0.00,Not Attempted,None,Not Attempted,None,0,0,0,1,0,1,God awful,FALSE
7,Blue,2,1895,1,,Left Trench,Idle,Idle,0%,100%,38,0.00,0%,0.00,FALSE,Idle,Idle,0%,100%,3,0.00,0%,0.00,Score,Score,20%,100%,16,3.20,100%,3.20,Score,Score,0%,100%,0,0.00,100%,0.00,Score,Score,0%,100%,76,0.00,100%,0.00,Score,Score,0%,100%,0,0.00,100%,0.00,Score,Score,10%,100%,46,4.60,100%,4.60,7.80,7.80,Not Attempted,None,Not Attempted,None,1,1,1,2,0,0,dogwater,FALSE
7,Blue,3,686,0,,,,,0%,100%,38,0.00,0%,0.00,FALSE,,,0%,100%,3,0.00,0%,0.00,,,0%,100%,16,0.00,0%,0.00,,,0%,100%,0,0.00,0%,0.00,,,0%,100%,76,0.00,0%,0.00,,,0%,100%,0,0.00,0%,0.00,,,0%,100%,46,0.00,0%,0.00,0.00,0.00,,None,,None,,,,,,,,FALSE
7,Red,1,2421,1,,Hub,Score,None,20%,90%,60,13.33,100%,13.33,TRUE,Idle,None,0%,30%,16,0.00,0%,0.00,Defense,None,0%,20%,0,0.00,0%,0.00,Defense,None,0%,50%,38,0.00,0%,0.00,Defense,None,0%,0%,0,0.00,0%,0.00,Defense,None,0%,40%,12,0.00,0%,0.00,Defense,Pass,0%,40%,48,0.00,0%,0.00,13.33,13.33,Not Attempted,None,Not Attempted,None,1,2,0,4,0,3,Good defence,FALSE
7,Red,2,1629,1,,Left Trench,Intake from Neutral Zone,Score,40%,90%,60,26.67,33.3%,80.08,TRUE,Intake from Neutral Zone,None,30%,30%,16,16.00,0%,0.00,Intake from Neutral Zone,None,20%,20%,0,0.00,0%,0.00,Intake from Neutral Zone,Pass,20%,50%,38,15.20,0%,0.00,Intake from Neutral Zone,Pass,0%,0%,0,0.00,0%,0.00,Defense,None,10%,40%,12,3.00,0%,0.00,Defense,None,10%,40%,48,12.00,0%,0.00,80.08,72.87,Not Attempted,None,Not Attempted,None,2,4,0,4,0,4,Shooter started missing horribly so changed strategy to passing and defense.,FALSE
7,Red,3,1727,1,,Right Trench,Score,None,30%,90%,60,20.00,100%,20.00,TRUE,Idle,None,0%,30%,16,0.00,0%,0.00,Idle,None,0%,20%,0,0.00,0%,0.00,Score,None,30%,50%,38,22.80,100%,22.80,Intake from Neutral Zone,Score,0%,0%,0,0.00,33.3%,0.00,Score,None,30%,40%,12,9.00,100%,9.00,Score,None,30%,40%,48,36.00,100%,36.00,87.80,87.80,Not Attempted,None,Not Attempted,None,4,0,4,4,0,0,,FALSE
8,Blue,1,1262,1,,Left Trench,Intake from Neutral Zone,Idle,0%,100%,53,0.00,0%,0.00,TRUE,Score,Score,40%,100%,17,6.80,100%,6.80,Intake from Neutral Zone,Idle,0%,100%,0,0.00,0%,0.00,Score,Score,20%,100%,57,11.40,100%,11.40,Intake from Neutral Zone,Idle,0%,100%,0,0.00,0%,0.00,Score,Score,20%,100%,68,13.60,100%,13.60,Intake from Neutral Zone,Score,10%,100%,57,5.70,33.3%,17.12,48.92,37.50,Not Attempted,None,Not Attempted,None,1,0,3,3,0,0,"Good idea, wrong execution and not that good of a robot ",FALSE
8,Blue,2,4541,1,,Hub,Score,Idle,0%,100%,53,0.00,66.7%,0.00,TRUE,Intake from Neutral Zone,Defense,0%,100%,17,0.00,0%,0.00,Defense,Defense,0%,100%,0,0.00,0%,0.00,Defense,Defense,0%,100%,57,0.00,0%,0.00,Defense,Defense,0%,100%,0,0.00,0%,0.00,Defense,Defense,0%,100%,68,0.00,0%,0.00,Defense,Pass,0%,100%,57,0.00,0%,0.00,0.00,0.00,Not Attempted,None,Not Attempted,None,0,0,0,3,0,2,broken intake,FALSE
8,Blue,3,11415,0,,,,,0%,100%,53,0.00,0%,0.00,TRUE,,,0%,100%,17,0.00,0%,0.00,,,0%,100%,0,0.00,0%,0.00,,,0%,100%,57,0.00,0%,0.00,,,0%,100%,0,0.00,0%,0.00,,,0%,100%,68,0.00,0%,0.00,,,0%,100%,57,0.00,0%,0.00,0.00,0.00,,None,,None,,,,,,,,FALSE
