Timestamp,Team #?,Match #?,Starting location?,"AUTO scoring 
(uncheck all but final score before continuing) [Speaker score ✅]","AUTO scoring 
(uncheck all but final score before continuing) [Speaker miss ❌]","AUTO scoring 
(uncheck all but final score before continuing) [Amp score ✅]","AUTO scoring 
(uncheck all but final score before continuing) [Amp miss ❌]",# Fouls?,# Tech fouls?,"Tele-op scoring 
(uncheck all but final score before continuing) [Amp score ✅]","Tele-op scoring 
(uncheck all but final score before continuing) [Amp miss ❌]","Tele-op scoring 
(uncheck all but final score before continuing) [Speaker score ✅]","Tele-op scoring 
(uncheck all but final score before continuing) [Speaker miss ❌]",# Fouls?,# Tech fouls?,Climb?,Scored trap?,Harmony? (2 robots on the same chain),Driver performance?,How much defence was played ON this robot?,How effective the defense against this robot?,Did the robot break on the field?,Other notes?,Did this robot PLAY defence? If so how effectively?,Tele-op [Note passes],AUTO [Note passes],Tried center line pickup?,Successful pickup from center line?,Successful Exit STARTING ZONE
3/16/2024 23:49:32,8326,4,Center,,,,,,,,,3,,,,Failed attempt,No attempt,No attempt,"4 - Good, slight hesitation, but seemed purposeful",Heavy,Somewhat effective,Yes,"Broke but then fixed
Could not spit out notes then switched to defense",Not effective,,,No,Yes,Yes
3/16/2024 23:55:05,1446,4,,,,,,,,,,,,,,No attempt,No attempt,No attempt,,None,N/A,No,NO SHOW,,,,,,
3/16/2024 23:14:09,3793,5,,1,,,,,,,,1,1,,,Failed attempt,No attempt,No attempt,"3 - Decent, they get around, could do better",None,N/A,No,was slow,N/A,,,,,
3/16/2024 23:38:41,1908,5,Center,1,,,,,,,,5,3,,,Successful attempt,No attempt,No attempt,"3 - Decent, they get around, could do better",Light,Not effective,No,"weak, but made really effective shooter",N/A,,,,,
3/16/2024 23:42:12,888,5,Center,2,,,,,,,2,1,3,,,Failed attempt,No attempt,No attempt,"4 - Good, slight hesitation, but seemed purposeful",Light,Not effective,No,,N/A,,,,,Yes
3/16/2024 23:44:54,7770,5,Amp,,,,,,,,,,,,,Successful attempt,No attempt,No attempt,"1 - Completely lost, not contributing in any way",Heavy,Not effective,Yes,Didn't do anything but was still active ,N/A,,,No,No,No
3/16/2024 23:45:36,2914,5,Source,,,,,,,,,,,,,No attempt,No attempt,No attempt,"1 - Completely lost, not contributing in any way",None,N/A,Yes,,,,,,,
3/16/2024 23:52:43,1389,5,Center,,,,,,,3,,2,,,,Successful attempt,No attempt,No attempt,"3 - Decent, they get around, could do better",None,N/A,No,"Can't pick up well
Stopped moving in beginning started at 1:30",N/A,,,No,No,No
3/16/2024 23:56:15,1727,5,Amp,,,,,,,4,,6,,,,Failed attempt,No attempt,No attempt,"5 - Fantastic, every move purposeful, wastes no time",Heavy,Not effective,No,,N/A,,,Yes,Yes,Yes
3/16/2024 23:15:38,85141,6,Source,,,,,,,,,,2,,,No attempt,No attempt,No attempt,"1 - Completely lost, not contributing in any way",None,N/A,No,struggled at amp -- kept dropping notes,N/A,,,,,
3/16/2024 23:40:11,4541,6,Center,1,1,,,,,1,,,3,,,Failed attempt,No attempt,Failed attempt,"3 - Decent, they get around, could do better",None,N/A,No,,Somewhat effective,,,,,
3/16/2024 23:41:07,4456,6,Center,4,,,,,,,,4,1,,,Failed attempt,No attempt,No attempt,"4 - Good, slight hesitation, but seemed purposeful",Heavy,Somewhat effective,No,,N/A,,,,,Yes
3/16/2024 23:46:09,2849,6,Amp,1,1,,,,,,,1,1,,,No attempt,No attempt,No attempt,"2 - Mostly lost, but had some use",None,N/A,No,,N/A,,,No,No,No
3/16/2024 23:54:24,5115,6,Source,,,,,,,3,,3,1,,,Successful attempt,No attempt,No attempt,"4 - Good, slight hesitation, but seemed purposeful",None,N/A,No,"Drive was good, pickup slower 
won match with two robots",N/A,,,No,No,No
3/16/2024 23:56:44,2900,6,,,,,,,,,,,,,,No attempt,No attempt,No attempt,,None,N/A,No,No SHOW,,,,,,
3/16/2024 23:16:44,5243,7,Source,,,,,,,,1,,1,,,No attempt,No attempt,No attempt,"1 - Completely lost, not contributing in any way",None,N/A,No,kept missing,N/A,,,,,
3/16/2024 23:20:07,2914,7,,,,,,,,,,,,,,Failed attempt,No attempt,No attempt,"1 - Completely lost, not contributing in any way",None,N/A,No,,N/A,,,,,
3/16/2024 23:23:42,2377,7,Source,1,,,,,,3,,,,,,Successful attempt,No attempt,No attempt,"3 - Decent, they get around, could do better",Heavy,Somewhat effective,No,,N/A,,,,,
3/16/2024 23:26:58,5841,7,Amp,,1,,,,,,,1,3,,,No attempt,No attempt,No attempt,"2 - Mostly lost, but had some use",None,N/A,No,,N/A,,,,,
3/16/2024 23:29:37,1719,7,Center,,,,,,,,,1,2,,,Failed attempt,No attempt,No attempt,"2 - Mostly lost, but had some use",None,N/A,No,can pick up more than one note,N/A,,,,,
3/16/2024 23:34:17,2199,7,Center,1,1,,,,,,,2,5,,,No attempt,No attempt,No attempt,"3 - Decent, they get around, could do better",None,N/A,Yes,,N/A,,,,,
3/16/2024 23:17:53,686,8,Amp,2,,,,,,3,1,3,1,,,No attempt,No attempt,No attempt,"5 - Fantastic, every move purposeful, wastes no time",None,N/A,No,,N/A,,,Yes,Yes,Yes
3/16/2024 23:21:27,8622,8,,,1,,,,,,,2,,,,No attempt,No attempt,No attempt,"2 - Mostly lost, but had some use",None,N/A,Yes,got stuck going under the source,N/A,,,,,No
3/16/2024 23:24:25,6213,8,,,,,,,,,,,,,,No attempt,No attempt,No attempt,"1 - Completely lost, not contributing in any way",None,N/A,No,,,,,,,
3/16/2024 23:27:43,3748,8,Center,,,,,,,,,7,,,,Failed attempt,No attempt,No attempt,"5 - Fantastic, every move purposeful, wastes no time",None,N/A,No,scores well,N/A,,,,,
3/16/2024 23:30:41,8526,8,Center,,1,,,,,2,,2,1,,,Failed attempt,No attempt,No attempt,"4 - Good, slight hesitation, but seemed purposeful",None,N/A,No,,N/A,,,,,
3/16/2024 23:34:54,7886,8,,,,,,,,,,,,,,No attempt,No attempt,No attempt,,None,N/A,No,NO SHOW,,,,,,
3/16/2024 23:19:00,6326,9,,,,,,,,2,1,,,,,Failed attempt,No attempt,No attempt,"3 - Decent, they get around, could do better",Light,Somewhat effective,No,,N/A,,,,,Yes
3/16/2024 23:22:43,2537,9,,,,,,,,,,2,,,,Failed attempt,No attempt,No attempt,"2 - Mostly lost, but had some use",Light,Somewhat effective,No,crashed a couple of times into the stage,N/A,,,,,
3/16/2024 23:26:10,9072,9,,2,,,,,,,,5,1,,,No attempt,No attempt,No attempt,"3 - Decent, they get around, could do better",Light,Not effective,Yes,"stopped towards the end, didn't work",N/A,,,Yes,Yes,Yes
3/16/2024 23:28:39,1908,9,Source,,1,,,,,,,6,,,,Failed attempt,No attempt,No attempt,"4 - Good, slight hesitation, but seemed purposeful",None,N/A,No,,N/A,,,,,
3/16/2024 23:33:16,614,9,Center,2,,,,,,4,,1,,,,Successful attempt,No attempt,No attempt,"3 - Decent, they get around, could do better",None,N/A,No,takes a long time to score on amp.  climbed early (too early) but then tried again,N/A,,,Yes,Yes,Yes
3/16/2024 23:35:55,3793,9,Source,,1,,,,,,,,,,,No attempt,No attempt,No attempt,"2 - Mostly lost, but had some use",None,N/A,No,no idea what he was doing,N/A,,,No,No,Yes
3/16/2024 23:01:06,8514,10,,,,1,,,,1,,,,,,No attempt,No attempt,No attempt,"1 - Completely lost, not contributing in any way",None,N/A,Yes,not great,N/A,,,,,
3/16/2024 23:05:27,4638,10,Amp,,,,,,,,,,,,,No attempt,No attempt,No attempt,,None,N/A,No,"not connected to field, just sat there",,,,,,
3/16/2024 23:27:22,1389,10,Center,1,,,,,,2,,1,,,,Failed attempt,No attempt,No attempt,"3 - Decent, they get around, could do better",None,N/A,No,,,,,,,
3/16/2024 23:28:23,1418,10,Center,1,1,,,,,4,1,1,1,,,Failed attempt,No attempt,No attempt,"3 - Decent, they get around, could do better",None,N/A,No,,N/A,,,No,No,Yes
3/16/2024 23:31:06,5115,10,Center,,1,,,,,1,1,1,,,,Successful attempt,No attempt,Successful attempt,,None,N/A,No,"Stalled after auto, got back in with 1:11 left",,,,,,Yes
3/16/2024 23:32:34,116,10,Source,,,,,,,,,2,2,,,Failed attempt,No attempt,No attempt,"2 - Mostly lost, but had some use",None,N/A,No,Slow moving and did not attempt a lot of points ,N/A,,,,,Yes
3/16/2024 23:03:07,888,11,Center,2,,,,,,,,,1,2,,No attempt,No attempt,No attempt,,Heavy,Significantly effective,No,"fouls: first was dumb, not their fault.  2nd: note got stuck under for last 40 causing climbing foul",,,,Yes,Yes,Yes
3/16/2024 23:07:16,4541,11,Center,2,,,,,,2,,2,2,,,No attempt,No attempt,No attempt,"4 - Good, slight hesitation, but seemed purposeful",Heavy,Somewhat effective,No,"started to play defense at the end, may have damaged shooter when running into the stage",Not effective,,,,,
3/16/2024 23:28:12,4464,11,Source,,,,,,,,,1,,,,No attempt,No attempt,No attempt,"1 - Completely lost, not contributing in any way",None,N/A,No,,,,,,,
3/16/2024 23:29:43,1111,11,Amp,,,,,,,,,,,2,,No attempt,No attempt,No attempt,"3 - Decent, they get around, could do better",None,N/A,No,,Somewhat effective,,,No,No,No
3/16/2024 23:32:44,1727,11,Amp,3,2,,,,,2,,2,,,,Successful attempt,No attempt,No attempt,"4 - Good, slight hesitation, but seemed purposeful",Light,Somewhat effective,Yes,Defended against. Moved slow w/ 45s left,,1,,Yes,Yes,Yes
3/16/2024 23:34:24,1629,11,Source,3,,,,,,,1,5,2,,,No attempt,No attempt,No attempt,"5 - Fantastic, every move purposeful, wastes no time",None,N/A,No,"Fast, good handling 
made point towards end and rushed to stage ",N/A,,,Yes,Yes,Yes
3/16/2024 23:03:53,1446,12,,,,,,,,,,,,,,No attempt,No attempt,No attempt,,None,N/A,No,no show,,,,,,
3/16/2024 23:08:40,8726,12,Amp,1,,,,,,,,5,,,,No attempt,No attempt,No attempt,"3 - Decent, they get around, could do better",Light,Not effective,No,"didn't move with purpose, didn't intake very well",N/A,,,,,
3/16/2024 23:29:08,2849,12,,,,,,,,2,,1,,,,No attempt,No attempt,No attempt,"1 - Completely lost, not contributing in any way",None,N/A,No,,,,,,,Yes
3/16/2024 23:31:06,4456,12,Center,3,,,,,,,,3,,,,Successful attempt,Successful attempt,No attempt,"4 - Good, slight hesitation, but seemed purposeful",Light,Not effective,No,,N/A,,,,,
3/16/2024 23:34:10,2900,12,Source,,,,,,,,,,,,,No attempt,No attempt,No attempt,"1 - Completely lost, not contributing in any way",None,N/A,No,"Loose bumper corners. No moving in auto. Defense only, not good at it. Blocked their own team too.",,,,,,
3/16/2024 23:36:47,7770,12,Center,1,,,,,,,,,,,,Successful attempt,No attempt,No attempt,"2 - Mostly lost, but had some use",Heavy,Somewhat effective,No,"not fast, having some trouble switched to defense ",Not effective,,,Yes,Yes,No
3/16/2024 23:04:55,2377,13,Source,1,,,,,,,,1,,,,No attempt,No attempt,No attempt,"3 - Decent, they get around, could do better",None,N/A,Yes,Intake malfunctioned. Got hit at 45sec left and turned off.,N/A,,,No,No,
3/16/2024 23:17:13,8326,13,Center,2,,,,,,3,,2,,,,Successful attempt,No attempt,No attempt,"5 - Fantastic, every move purposeful, wastes no time",Light,Not effective,No,,,,,,,Yes
3/16/2024 23:19:58,5243,13,Amp,,,,,,,,,,,,,No attempt,No attempt,No attempt,"1 - Completely lost, not contributing in any way",None,N/A,No,No auto. Made of wood. Little movement. Tank drive,,,,,,
3/16/2024 23:23:21,7886,13,,,,,,,,,,,,,,No attempt,No attempt,No attempt,,None,N/A,No,No show,,,,,,
3/17/2024 7:59:24,6326,13,Amp,1,,,,,,,1,,,1,,No attempt,No attempt,No attempt,"3 - Decent, they get around, could do better",Glued to them,Somewhat effective,No,Maybe broken?,N/A,2,,No,No,Yes
3/16/2024 22:18:31,3748,14,Source,,,,,,,,,2,1,,,Failed attempt,No attempt,No attempt,"2 - Mostly lost, but had some use",None,N/A,No,,N/A,,,No,No,No
3/16/2024 23:06:29,686,14,Amp,,4,,,,,,,4,3,,,No attempt,No attempt,No attempt,"4 - Good, slight hesitation, but seemed purposeful",None,N/A,No,"Shots all missed, then made last 4",N/A,1,,,,Yes
3/16/2024 23:18:04,5115,14,Amp,1,,,,,,4,,,,,,Successful attempt,No attempt,No attempt,"2 - Mostly lost, but had some use",None,N/A,No,,,,,,,Yes
3/16/2024 23:21:01,2914,14,Source,,,,,,,,,,,,,No attempt,No attempt,No attempt,"1 - Completely lost, not contributing in any way",None,N/A,No,Stalled @ 1:45. Defense for 5s,,,,,,
3/16/2024 23:24:50,9072,14,Center,3,1,,,,,,,9,4,,,No attempt,No attempt,No attempt,"5 - Fantastic, every move purposeful, wastes no time",Light,Not effective,No,Started to stutter at end. Maybe stuck on note?,,,,Yes,Yes,Yes
3/17/2024 8:00:44,1418,14,Center,,,,,,,1,,,,,,Successful attempt,No attempt,No attempt,"1 - Completely lost, not contributing in any way",Light,Not effective,No,Bangs into walls and wasn't picking anything up,N/A,,,No,No,No
3/16/2024 22:59:44,1629,15,Amp,1,,,,,,,,10,,,,No attempt,No attempt,No attempt,"5 - Fantastic, every move purposeful, wastes no time",Light,Significantly effective,No,Very accurate. Can pick up notes quick. Stole note from other side.,N/A,,,Yes,Yes,Yes
3/16/2024 23:07:51,1719,15,Source,,1,,,,,,,,2,,,Successful attempt,No attempt,No attempt,"3 - Decent, they get around, could do better",None,N/A,Yes,Lost comms for 40s,N/A,,,,,
3/16/2024 23:19:01,8514,15,Source,,,,,,,1,,,,,,No attempt,No attempt,No attempt,"1 - Completely lost, not contributing in any way",None,N/A,Yes,,,,,,,
3/16/2024 23:22:33,1908,15,Center,1,,,,,,,,3,4,,,No attempt,No attempt,No attempt,"3 - Decent, they get around, could do better",Heavy,Significantly effective,No,Bumpers too low for intake. Blocked speaker 4x,,2,,,,Yes
3/16/2024 23:26:10,5841,15,Source,1,,,,,,,,,3,,,No attempt,No attempt,No attempt,"2 - Mostly lost, but had some use",None,N/A,No,Trouble w/ intake. Not good,,,,,,
3/17/2024 8:02:46,1111,15,Source,,,,,,,,,,,,,No attempt,No attempt,No attempt,"3 - Decent, they get around, could do better",None,N/A,No,,Somewhat effective,,,No,No,No
3/16/2024 22:54:46,8726,16,Center,1,,,,,,,,5,1,,,No attempt,No attempt,No attempt,"4 - Good, slight hesitation, but seemed purposeful",None,N/A,No,,N/A,,,No,No,Yes
3/16/2024 23:09:31,1446,16,Source,,,,,,,,,,,,,No attempt,No attempt,No attempt,"1 - Completely lost, not contributing in any way",None,N/A,No,Drove into corner entire match. Drivetrain issue?,,,,,,
3/16/2024 23:13:47,4638,16,Amp,1,,,,,,,,,1,,,Failed attempt,No attempt,No attempt,"2 - Mostly lost, but had some use",None,N/A,No,Just wandered. Trouble intaking notes. Half-heartedly played defense,,,,Yes,No,Yes
3/17/2024 0:14:41,116,16,Source,,,,,,,,1,1,1,,,No attempt,No attempt,No attempt,"2 - Mostly lost, but had some use",None,N/A,No,,N/A,,,No,No,No
3/17/2024 8:23:08,4541,16,Amp,,,,,,,5,,,2,,,No attempt,No attempt,Successful attempt,"3 - Decent, they get around, could do better",Light,Not effective,No,,N/A,,,,,
3/17/2024 8:31:57,4456,16,Center,3,,,,,,,,8,,,,No attempt,No attempt,No attempt,"3 - Decent, they get around, could do better",None,N/A,No,"Picked up all notes at source in tele op 
Smooth, slower, consistent ",N/A,,,No,No,Yes
3/16/2024 22:56:23,1727,17,Center,4,,,,,,,,6,,,,Failed attempt,No attempt,No attempt,"5 - Fantastic, every move purposeful, wastes no time",Light,Not effective,No,,N/A,,,No,No,Yes
3/16/2024 23:01:25,2199,17,Amp,,,,,,,3,,,,,,No attempt,No attempt,No attempt,,None,N/A,Yes,Note stuck and stopped moving,,,,No,No,No
3/16/2024 23:10:33,1389,17,Source,1,,,,,,4,,1,1,,,No attempt,No attempt,No attempt,"4 - Good, slight hesitation, but seemed purposeful",None,N/A,No,Lost comms for ~20s at beginning,,,,,,
3/16/2024 23:14:36,7770,17,Center,,1,,,,,,,,,,,No attempt,No attempt,No attempt,,None,N/A,Yes,Lost comms. Dead in water,,,,,,
3/17/2024 0:15:40,6213,17,Amp,,,,,,,,,,,,,No attempt,No attempt,No attempt,"1 - Completely lost, not contributing in any way",None,N/A,No,No show,N/A,,,No,No,No
3/17/2024 8:24:07,2900,17,Center,,,,,,,,,,,,,No attempt,No attempt,No attempt,"1 - Completely lost, not contributing in any way",Glued to them,Somewhat effective,No,,N/A,,,,,
3/17/2024 8:28:23,6213,17,Amp,,,,,,,,,,,,,No attempt,No attempt,No attempt,"1 - Completely lost, not contributing in any way",None,N/A,Yes,Broken not on field,,,,,,
3/16/2024 22:58:10,614,18,Source,,2,,,,,3,,,1,,,Successful attempt,No attempt,No attempt,"3 - Decent, they get around, could do better",Heavy,Significantly effective,No,,,,,Yes,No,Yes
3/16/2024 23:02:46,4464,18,Source,1,,,,,,,,,1,,,No attempt,No attempt,No attempt,"1 - Completely lost, not contributing in any way",None,N/A,Yes,Driving around with note stuck aimlessly. Terrible.,N/A,,,No,No,No
3/16/2024 23:11:11,2849,18,,,,,,,,,,,,,,No attempt,No attempt,No attempt,,None,N/A,No,No show,,,,,,
3/16/2024 23:16:10,8622,18,Center,1,1,,,,,,1,,1,,,No attempt,No attempt,No attempt,"2 - Mostly lost, but had some use",None,N/A,Yes,"White thing hanging, not sure if that was a belt or cable? Didn't pick up notes, no power behind shots.",,,,,,
3/17/2024 8:30:02,2537,18,Amp,1,,,,,,,2,2,1,,,No attempt,No attempt,No attempt,"3 - Decent, they get around, could do better",Light,Somewhat effective,No,,,,,,,
3/17/2024 8:33:39,888,18,Center,,4,,,,,,,6,1,,,No attempt,No attempt,No attempt,"3 - Decent, they get around, could do better",Light,Significantly effective,No,Hard time scoring speaker at angle ,N/A,4,,,,
3/17/2024 8:25:06,1719,19,Center,,,,,,,,,,,,,No attempt,No attempt,No attempt,"1 - Completely lost, not contributing in any way",None,N/A,No,,,,,,,
3/17/2024 8:30:54,5841,19,Source,1,,,,,,,,,,,,No attempt,No attempt,No attempt,"1 - Completely lost, not contributing in any way",None,N/A,Yes,,N/A,,,No,No,No
3/17/2024 8:32:19,9072,19,Center,1,,,,,,,,7,,,,No attempt,No attempt,No attempt,,Light,Somewhat effective,No,"Good, but same auto",,,,Yes,Yes,Yes
3/17/2024 8:34:33,1418,19,Amp,,1,,,,,4,,1,,,,No attempt,No attempt,No attempt,"4 - Good, slight hesitation, but seemed purposeful",None,N/A,No,Auto speaker shot blocked by another shot,N/A,,,No,No,No
3/17/2024 8:35:00,3793,19,Source,,,,,,,2,,1,,,,No attempt,No attempt,No attempt,"2 - Mostly lost, but had some use",None,N/A,No,Weak shooter-speaker slower,N/A,,,No,No,Yes
3/17/2024 8:37:50,7886,19,Center,,,,,,,,,,,,,No attempt,No attempt,No attempt,"1 - Completely lost, not contributing in any way",None,N/A,Yes,First match but still was malfunctioning ,N/A,,,No,No,No
3/17/2024 8:26:49,1629,20,Amp,3,,,,,,,,8,,,,No attempt,No attempt,No attempt,"5 - Fantastic, every move purposeful, wastes no time",None,N/A,No,,N/A,,,Yes,Yes,Yes
3/17/2024 8:34:14,116,20,Center,,,,,,,,,2,,,,No attempt,No attempt,No attempt,"2 - Mostly lost, but had some use",None,N/A,No,"Can't intake against wall, bumpers push note",N/A,,,No,No,No
3/17/2024 8:35:38,2914,20,Center,,,,,,,,,,1,,,No attempt,No attempt,No attempt,"1 - Completely lost, not contributing in any way",Light,Shut them down,No,"Had movement issues, stopped working in center of the field ",Not effective,,,No,No,No
3/17/2024 8:36:35,8326,20,Source,1,,,,,,,,1,1,,,Successful attempt,No attempt,No attempt,"3 - Decent, they get around, could do better",None,N/A,Yes,Lost intake bar. Attempted climb early,N/A,,,No,No,No
3/17/2024 8:38:39,1446,20,Source,,,,,,,,,,,,,No attempt,No attempt,No attempt,"1 - Completely lost, not contributing in any way",None,N/A,Yes,Staged in the corner,N/A,,,No,No,No
3/17/2024 8:28:49,4541,21,Center,1,1,,,,,4,,,2,,,No attempt,No attempt,No attempt,"4 - Good, slight hesitation, but seemed purposeful",Light,Significantly effective,No,,N/A,,,No,No,No
3/17/2024 8:35:27,2900,21,Source,,,,,,,,,,,,,Failed attempt,No attempt,No attempt,"1 - Completely lost, not contributing in any way",None,N/A,No,"Bumper covers drag, not great defence",N/A,,,No,No,No
3/17/2024 8:35:44,1908,21,Amp,,1,,,,,,,3,1,,,Failed attempt,No attempt,Failed attempt,"4 - Good, slight hesitation, but seemed purposeful",None,N/A,No,,N/A,,,No,No,No
3/17/2024 8:37:10,3748,21,Center,1,,,,,,2,,2,,,,Failed attempt,No attempt,No attempt,"4 - Good, slight hesitation, but seemed purposeful",Heavy,Somewhat effective,No,Good at scoring and good control of robot ,,,,Yes,No,No
3/17/2024 8:38:05,2377,21,Source,2,,1,,,,1,,2,,,,No attempt,No attempt,No attempt,"3 - Decent, they get around, could do better",None,N/A,No,,N/A,,,No,No,No
3/17/2024 8:40:12,5243,21,Amp,,,,,,,,,,,,,No attempt,No attempt,No attempt,"1 - Completely lost, not contributing in any way",None,N/A,No,Drovemover to the other side and stayed there without defence,N/A,,,No,No,No
3/17/2024 8:28:48,614,22,Center,3,,,,,,,,,,,,Successful attempt,No attempt,No attempt,"4 - Good, slight hesitation, but seemed purposeful",Heavy,Somewhat effective,No,,N/A,,,No,No,No
3/17/2024 8:30:51,7770,22,Center,,1,,,,,,,,,,,Successful attempt,No attempt,No attempt,"1 - Completely lost, not contributing in any way",None,N/A,Yes,"Broke, drove around and did not do a good job playing defense",N/A,,,No,No,No
3/17/2024 8:36:15,8622,22,Source,,1,,,,,,,,,,,Failed attempt,No attempt,No attempt,"2 - Mostly lost, but had some use",None,N/A,No,Defense only,N/A,,,No,No,Yes
3/17/2024 8:37:31,5115,22,Amp,1,,,,,,3,1,1,,,,Failed attempt,No attempt,No attempt,"4 - Good, slight hesitation, but seemed purposeful",Light,Somewhat effective,No,,N/A,,,No,No,No
3/17/2024 8:38:43,1727,22,Amp,1,,,,,,6,,4,,,,Failed attempt,Failed attempt,No attempt,"5 - Fantastic, every move purposeful, wastes no time",Light,Somewhat effective,No,"Great, fast main scorer on team. Great control scored everything they tried to. ",,,,No,No,No
3/17/2024 8:40:38,8726,22,Source,1,,,,,,,,3,,,,No attempt,No attempt,No attempt,"3 - Decent, they get around, could do better",Light,Somewhat effective,Yes,Stopped at end and didn't move,N/A,,,No,No,No
3/17/2024 7:50:58,2199,23,Center,,1,,,,,,,,,,,No attempt,No attempt,No attempt,"2 - Mostly lost, but had some use",None,N/A,No,"Bag intake
Weak shooter",N/A,,,No,No,No
3/17/2024 8:30:51,4456,23,Center,1,,,,,,,,1,2,,,Successful attempt,Successful attempt,Successful attempt,"3 - Decent, they get around, could do better",Light,Somewhat effective,No,"Harmony with 1389, floor intake floppy and inefficient ",N/A,,,No,No,No
3/17/2024 8:30:56,1389,23,,,,,,,,4,,,,1,,No attempt,No attempt,No attempt,"5 - Fantastic, every move purposeful, wastes no time",None,N/A,No,,N/A,,,No,No,No
3/17/2024 8:32:20,4464,23,Amp,,,,,,,,,,1,,,No attempt,No attempt,No attempt,"1 - Completely lost, not contributing in any way",None,N/A,Yes,Note intake wasn’t working right. It banged into its opponent really hard while on the stage ,N/A,,,No,No,No
