EventKey,MatchLevel,MatchNumber,Alliiance,Alliance Index,Team Number,Team Name,Auto-L3Make,Auto-L3Miss,Auto-L2Make,Auto-L2Miss,Auto-TroughMake,Auto-TroughMiss,Auto-RemovedAlgaeMake,Auto-RemovedAlgaeMiss,Auto-ScoredProcessorMake,Auto-ScoredProcessorMiss,Auto-ScoredBargeMake,Auto-ScoredBargeMiss,Tele-Op-L4Make,Tele-Op-L4Miss,Tele-Op-L3Make,Tele-Op-L3Miss,Tele-Op-L2Make,Tele-Op-L2Miss,Tele-Op-TroughMake,Tele-Op-TroughMiss,Tele-Op-RemovedAlgaeMake,Tele-Op-RemovedAlgaeMiss,Tele-Op-ScoredProcessorMake,Tele-Op-ScoredProcessorMiss,Tele-Op-ScoredBargeMake,Tele-Op-ScoredBargeMiss,Climbing,Climb Attempt,DriverPerformance,DidTheyPLAYDefense?HowEffective?,WasDefensePlayedONThem?HowEffective?,Notes,ScouterName,ScoutedTime
2025chcmp,0,2,Red,1,4821,CyberUs,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,1,0,0,1,1,3,0,0,Doesn’t look like it can score coral at all but handled algae well,Megan,Fri Apr 04 2025 13:52:42 GMT-0400 (Eastern Daylight Time)
2025chcmp,0,2,Red,2,1895,Lambda Corps,0,0,0,0,0,0,1,0,0,0,0,0,3,0,4,0,0,0,0,0,2,0,0,0,0,0,0,0,2,0,0,Seems to be differential,LW,Fri Apr 04 2025 13:52:26 GMT-0400 (Eastern Daylight Time)
2025chcmp,0,2,Red,3,9072,TigerBots,0,0,0,0,0,0,0,0,0,0,0,0,5,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,3,0,0,Slower cycle time,Aidan,Fri Apr 04 2025 13:52:58 GMT-0400 (Eastern Daylight Time)
2025chcmp,0,3,Blue,2,2890,The Hawk Collective,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,does absolutely nothing except playing defense on their own alliance,SP,Fri Apr 04 2025 13:59:24 GMT-0400 (Eastern Daylight Time)
2025chcmp,0,3,Blue,2,2890,The Hawk Collective,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,Moved like a sloth. Only coral station.,Isaac Hassett,Fri Apr 04 2025 13:59:37 GMT-0400 (Eastern Daylight Time)
2025chcmp,0,3,Blue,3,6802,Mean Caimans,0,0,0,0,0,0,0,0,0,0,0,0,3,4,0,0,0,0,0,0,0,0,0,0,0,0,4,1,1,0,0,,DJ,Fri Apr 04 2025 13:59:35 GMT-0400 (Eastern Daylight Time)
2025chcmp,0,3,Red,1,888,Robotiators,0,0,0,0,0,0,0,0,0,0,0,0,3,1,3,0,1,0,0,1,2,0,0,0,0,0,0,0,4,0,0,. Doesn’t have to be in a specific position to grab coral,Megan,Fri Apr 04 2025 13:59:38 GMT-0400 (Eastern Daylight Time)
2025chcmp,0,3,Red,2,4541,CAVineers,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,1,3,1,0,0,0,0,0,0,0,0,0,0,3,0,0,,LW,Fri Apr 04 2025 13:59:05 GMT-0400 (Eastern Daylight Time)
2025chcmp,0,3,Red,3,4638,Jagbots,0,0,0,0,0,0,0,0,0,0,0,0,4,0,1,0,0,0,0,0,1,0,0,0,0,0,1,1,1,0,0,"Almost tipped over, slow cycle",Aidan,Fri Apr 04 2025 13:59:31 GMT-0400 (Eastern Daylight Time)
2025chcmp,0,4,Blue,1,614,Night Hawks,0,0,1,0,0,0,0,0,0,0,0,0,0,0,4,1,0,0,1,0,1,0,1,0,0,0,0,0,2,0,0,Ground and station intake. Algae processor. L3 and below.,Isaac Hassett,Fri Apr 04 2025 14:08:04 GMT-0400 (Eastern Daylight Time)
2025chcmp,0,4,Blue,2,3793,CyberTitans,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,3,0,2,0,0,0,0,0,0,0,2,1,2,0,0,"only l1 and l2, pretty slow",SP,Fri Apr 04 2025 14:07:55 GMT-0400 (Eastern Daylight Time)
2025chcmp,0,4,Red,1,2363,Triple Helix Robotics,0,0,0,0,0,0,0,0,0,0,0,0,4,0,2,0,1,0,0,0,2,0,2,0,0,0,1,1,4,0,0,,Megan,Fri Apr 04 2025 14:07:16 GMT-0400 (Eastern Daylight Time)
2025chcmp,0,4,Red,2,8726,CryptoHawks,0,0,0,0,0,1,0,0,0,0,0,0,0,0,3,2,0,0,0,0,0,0,0,0,0,0,4,1,3,0,0,Got beached,LW,Fri Apr 04 2025 14:07:02 GMT-0400 (Eastern Daylight Time)
2025chcmp,0,4,Red,3,1418,Vae Victis,0,0,0,0,0,0,0,0,0,0,0,0,0,4,2,0,0,0,0,0,0,0,0,0,0,0,2,1,1,0,0,"Very unreliable reef scoring, came close to climbing",Aidan,Fri Apr 04 2025 14:07:25 GMT-0400 (Eastern Daylight Time)
2025chcmp,0,5,Blue,1,977,Cometbots,0,0,0,0,0,0,0,0,0,0,0,0,5,0,2,0,0,0,0,0,0,0,0,0,0,0,2,1,3,0,0,,Isaac Hassett,Fri Apr 04 2025 14:22:40 GMT-0400 (Eastern Daylight Time)
2025chcmp,0,5,Blue,2,1885,Comet Robotics,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,10,0,1,0,2,1,3,0,0,"amazing algae bot, scored everything in processor",SP,Fri Apr 04 2025 14:21:36 GMT-0400 (Eastern Daylight Time)
2025chcmp,0,5,Blue,3,539,Titan Robotics,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,4,0,3,1,0,0,0,0,0,0,0,0,2,0,0,,DJ,Fri Apr 04 2025 14:21:14 GMT-0400 (Eastern Daylight Time)
2025chcmp,0,5,Red,1,1727,REX,0,0,1,0,0,0,1,0,0,0,0,0,0,0,6,1,3,0,2,0,1,0,0,0,0,0,4,1,4,0,0,,Megan,Fri Apr 04 2025 14:21:22 GMT-0400 (Eastern Daylight Time)
2025chcmp,0,5,Red,2,401,Copperhead Robotics,0,0,0,0,0,0,0,0,0,0,0,0,3,1,3,0,1,1,1,0,1,0,0,0,1,0,4,1,4,0,0,,LW,Fri Apr 04 2025 14:22:08 GMT-0400 (Eastern Daylight Time)
2025chcmp,0,5,Red,3,836,The RoboBees,0,0,0,0,0,0,0,0,0,0,0,0,2,2,0,0,1,0,2,0,1,0,0,0,1,0,4,1,3,0,0,"Great coral cycle time, slightly unstable, no autoalign",Aidan,Fri Apr 04 2025 14:22:55 GMT-0400 (Eastern Daylight Time)
2025chcmp,0,6,Blue,1,422,The Mech Tech Dragons,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,3,0,0,0,3,0,0,0,2,0,4,1,3,2,0,Very solid. Very fast. Got stuck on algae twice. Coral got stuck in intake and had to play defense instead.,Isaac Hassett,Fri Apr 04 2025 14:30:56 GMT-0400 (Eastern Daylight Time)
2025chcmp,0,6,Blue,2,5338,ACL RoboLoCo,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,2,1,1,1,2,2,0,0,0,1,0,0,0,2,0,0,"can score but struggled a bit, maybe connectivity issues",SP,Fri Apr 04 2025 14:31:10 GMT-0400 (Eastern Daylight Time)
2025chcmp,0,6,Blue,3,1086,Blue Cheese,0,0,0,0,0,0,0,0,0,0,0,0,4,5,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,Too fast,DJ,Fri Apr 04 2025 14:31:03 GMT-0400 (Eastern Daylight Time)
2025chcmp,0,6,Red,1,611,Saxons,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,2,0,2,3,0,0,0,0,0,0,0,0,3,0,0,,Megan,Fri Apr 04 2025 14:30:24 GMT-0400 (Eastern Daylight Time)
2025chcmp,0,6,Red,2,4505,McDonogh Robotics,0,0,0,0,0,0,0,0,0,0,0,0,3,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,,LW,Fri Apr 04 2025 14:30:22 GMT-0400 (Eastern Daylight Time)
2025chcmp,0,6,Red,3,5115,Knight Riders,0,0,0,0,0,1,0,0,0,0,0,0,0,0,3,1,0,0,0,0,2,0,0,0,0,0,2,1,2,0,2,,Aidan,Fri Apr 04 2025 14:31:02 GMT-0400 (Eastern Daylight Time)
2025chcmp,0,7,Blue,1,6326,⚡ Baltimore Bolts ⚡,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,Broken intake. Didn't really do anything.,Isaac Hassett,Fri Apr 04 2025 14:37:06 GMT-0400 (Eastern Daylight Time)
2025chcmp,0,7,Blue,2,1908,ShoreBots,0,0,0,0,0,0,0,0,0,0,0,0,2,1,1,0,2,0,0,0,0,0,0,0,0,0,2,1,3,0,0,decent,SP,Fri Apr 04 2025 14:37:34 GMT-0400 (Eastern Daylight Time)
2025chcmp,0,7,Blue,3,1731,Fresta Valley Robotics Club,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,1,0,0,0,0,0,3,1,3,0,4,Good robot if defense never existed,DJ,Fri Apr 04 2025 14:37:48 GMT-0400 (Eastern Daylight Time)
2025chcmp,0,7,Red,1,8622,The CyBirds,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,3,0,0,0,0,0,0,0,0,0,0,0,3,0,0,,Megan,Fri Apr 04 2025 14:37:00 GMT-0400 (Eastern Daylight Time)
2025chcmp,0,7,Red,2,6863,Squirrels,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,1,2,0,0,0,4,0,0,0,0,0,0,0,1,0,2,,LW,Fri Apr 04 2025 14:37:39 GMT-0400 (Eastern Daylight Time)
2025chcmp,0,7,Red,3,8230,KoiBots,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,2,4,0,"Entirely defense in tele-op, prevented numerous coral station",Aidan,Fri Apr 04 2025 14:38:06 GMT-0400 (Eastern Daylight Time)
2025chcmp,0,8,Blue,1,346,RoboHawks,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,,Isaac Hassett,Fri Apr 04 2025 14:46:03 GMT-0400 (Eastern Daylight Time)
2025chcmp,0,8,Blue,2,3748,Ragnarok Robotics,0,1,0,0,0,0,0,0,0,0,0,0,0,0,4,2,0,0,0,0,3,1,0,0,0,0,2,1,2,0,0,algae and l3 bot,SP,Fri Apr 04 2025 14:46:05 GMT-0400 (Eastern Daylight Time)
2025chcmp,0,8,Blue,3,6213,Team Quantum,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,DJ,Fri Apr 04 2025 14:46:00 GMT-0400 (Eastern Daylight Time)
2025chcmp,0,8,Red,1,620,Warbots,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,3,0,4,1,1,0,0,0,0,1,0,0,4,0,0,,Megan,Fri Apr 04 2025 14:46:17 GMT-0400 (Eastern Daylight Time)
2025chcmp,0,8,Red,2,3136,O.R.C.A.,0,0,0,0,0,0,1,0,0,0,0,0,4,0,4,1,2,0,0,0,1,0,0,0,0,0,4,1,4,0,0,,LW,Fri Apr 04 2025 14:46:30 GMT-0400 (Eastern Daylight Time)
2025chcmp,0,8,Red,3,1629,Garrett Coalition (GaCo),0,0,0,0,0,0,0,0,2,0,0,0,2,0,2,0,2,0,0,1,1,0,0,0,1,0,2,1,4,0,0,,Aidan,Fri Apr 04 2025 14:46:02 GMT-0400 (Eastern Daylight Time)
2025chcmp,0,9,Blue,1,449,The Blair Robot Project,0,0,0,0,0,0,1,0,0,0,0,0,3,0,4,0,5,0,0,0,0,0,0,0,0,0,2,1,3,0,0,One intake serves as ground and station. Prefers ground.,Isaac Hassett,Fri Apr 04 2025 14:54:12 GMT-0400 (Eastern Daylight Time)
2025chcmp,0,9,Blue,2,8592,Newton²,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,1,2,0,4,0,1,0,1,2,4,1,4,0,0,"really good overall bot and is rapid, good quick intake",SP,Fri Apr 04 2025 14:54:34 GMT-0400 (Eastern Daylight Time)
2025chcmp,0,9,Blue,3,339,Kilroy Robotics,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,3,0,,DJ,Fri Apr 04 2025 14:54:21 GMT-0400 (Eastern Daylight Time)
2025chcmp,0,9,Red,1,3373,Team RoboHawk,0,0,0,0,0,0,0,0,0,0,0,0,5,1,0,0,0,0,0,0,0,0,0,0,0,0,4,1,3,0,0,,Megan,Fri Apr 04 2025 14:54:02 GMT-0400 (Eastern Daylight Time)
2025chcmp,0,9,Red,2,3359,Royal Robotics,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,2,0,0,0,3,0,0,1,0,2,,LW,Fri Apr 04 2025 14:53:58 GMT-0400 (Eastern Daylight Time)
2025chcmp,0,9,Red,3,2186,Dogs of Steel,0,0,0,0,0,0,0,0,0,0,0,0,4,2,0,0,0,0,0,0,0,0,0,0,0,0,2,1,3,0,2,,Aidan,Fri Apr 04 2025 14:54:16 GMT-0400 (Eastern Daylight Time)
2025chcmp,0,10,Blue,1,1111,Power Hawks Robotics,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Bypassedml. Technical difficulties.,Isaac Hassett,Fri Apr 04 2025 15:05:43 GMT-0400 (Eastern Daylight Time)
2025chcmp,0,10,Blue,2,6802,Mean Caimans,0,0,0,0,0,0,0,0,0,0,0,0,3,2,0,0,0,0,2,0,0,0,0,0,0,0,2,1,1,0,0,"really slow, mid",SP,Fri Apr 04 2025 15:09:10 GMT-0400 (Eastern Daylight Time)
2025chcmp,0,10,Blue,3,1895,Lambda Corps,0,0,0,0,0,0,0,0,0,0,0,0,4,0,5,0,0,0,0,0,2,0,0,0,0,0,4,1,3,0,0,I have no idea how it did not miss even though it looked like it was going to 100% of thetime.,DJ,Fri Apr 04 2025 15:08:39 GMT-0400 (Eastern Daylight Time)
2025chcmp,0,10,Red,1,614,Night Hawks,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,1,2,5,1,0,0,0,0,0,0,0,0,3,0,0,,Megan,Fri Apr 04 2025 15:09:50 GMT-0400 (Eastern Daylight Time)
2025chcmp,0,10,Red,2,9072,TigerBots,0,0,0,0,0,0,0,0,0,0,0,0,6,1,2,0,2,0,0,0,1,0,0,0,1,0,2,1,3,0,0,,LW,Fri Apr 04 2025 15:08:27 GMT-0400 (Eastern Daylight Time)
2025chcmp,0,10,Red,3,686,Bovine Intervention,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,2,0,0,0,2,0,0,0,1,0,2,1,3,0,0,Robot keeps hitting reef and dropping coral,Aubrey Harbaugh,Fri Apr 04 2025 15:08:17 GMT-0400 (Eastern Daylight Time)
2025chcmp,0,11,Blue,1,8726,CryptoHawks,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,1,1,0,0,0,1,0,0,0,0,0,2,1,2,0,0,L3 and below. Only coral station.,Isaac Hassett,Fri Apr 04 2025 15:21:43 GMT-0400 (Eastern Daylight Time)
2025chcmp,0,11,Blue,2,8590,Cavbotics,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,1,0,0,0,1,1,1,3,0,broke during match,SP,Fri Apr 04 2025 15:21:56 GMT-0400 (Eastern Daylight Time)
2025chcmp,0,11,Blue,3,1885,Comet Robotics,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,11,0,0,0,0,0,3,0,0,,DJ Brooks (a human),Fri Apr 04 2025 15:22:36 GMT-0400 (Eastern Daylight Time)
2025chcmp,0,11,Red,1,539,Titan Robotics,0,0,0,0,2,0,0,0,0,0,0,0,0,0,2,0,2,0,0,0,1,0,0,0,0,0,0,0,2,0,0,,Megan,Fri Apr 04 2025 15:21:09 GMT-0400 (Eastern Daylight Time)
2025chcmp,0,11,Red,2,4541,CAVineers,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,2,"Robot died mid tele-op
Driver ran into blue cage/penalty",ZW,Fri Apr 04 2025 15:22:40 GMT-0400 (Eastern Daylight Time)
2025chcmp,0,11,Red,3,5804,TORCH,0,0,0,0,0,0,0,0,0,0,0,0,4,1,2,1,0,0,0,0,1,0,2,0,0,0,2,1,3,0,2,,Brady Perkins,Fri Apr 04 2025 15:21:48 GMT-0400 (Eastern Daylight Time)
2025chcmp,0,12,Blue,1,2890,The Hawk Collective,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,🙂‍↔️.,Isaac Hassett,Fri Apr 04 2025 15:30:51 GMT-0400 (Eastern Daylight Time)
2025chcmp,0,12,Blue,3,122,NASA Knights,0,0,0,0,0,0,0,0,0,0,0,0,7,1,0,0,0,0,0,0,0,0,0,0,0,0,4,1,3,0,3,,DJ,Fri Apr 04 2025 15:30:16 GMT-0400 (Eastern Daylight Time)
2025chcmp,0,12,Red,1,2106,The Junkyard Dogs,0,0,0,0,0,0,0,0,0,0,0,0,3,2,1,0,0,0,1,0,2,0,0,0,1,1,3,1,4,0,0,Very smooth coral placement and fast.,Megan,Fri Apr 04 2025 15:30:17 GMT-0400 (Eastern Daylight Time)
2025chcmp,0,12,Red,2,5115,Knight Riders,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,5,0,0,1,1,0,0,0,0,0,0,0,3,0,2,Parked in end game,ZW,Fri Apr 04 2025 15:30:37 GMT-0400 (Eastern Daylight Time)
2025chcmp,0,12,Red,3,1418,Vae Victis,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,4,1,3,3,0,Algae removal was accidental,Brady Perkins,Fri Apr 04 2025 15:30:38 GMT-0400 (Eastern Daylight Time)
2025chcmp,0,13,Blue,1,6326,⚡ Baltimore Bolts ⚡,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,2,0,0,0,0,1,0,0,Only removes algae. Tried to score processor with repeated failes.,Isaac Hassett,Fri Apr 04 2025 15:41:06 GMT-0400 (Eastern Daylight Time)
2025chcmp,0,13,Blue,2,2534,Lumberjack Robotics,0,0,0,0,1,0,0,0,0,0,0,0,4,0,0,0,5,0,0,2,0,0,0,0,0,0,0,0,3,0,0,,Aubrey Harbaugh,Fri Apr 04 2025 15:40:41 GMT-0400 (Eastern Daylight Time)
2025chcmp,0,13,Blue,3,6863,Squirrels,0,0,0,0,1,0,0,0,0,0,0,0,0,0,7,1,0,0,0,0,0,0,2,0,0,0,0,0,3,0,0,,DJ,Fri Apr 04 2025 15:45:07 GMT-0400 (Eastern Daylight Time)
2025chcmp,0,13,Red,1,3793,CyberTitans,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,6,1,3,0,0,0,0,0,0,0,0,0,2,0,0,,Megan,Fri Apr 04 2025 15:40:33 GMT-0400 (Eastern Daylight Time)
2025chcmp,0,13,Red,2,5338,ACL RoboLoCo,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,4,0,0,0,3,0,2,0,0,0,0,0,3,0,0,,ZW,Fri Apr 04 2025 15:40:47 GMT-0400 (Eastern Daylight Time)
2025chcmp,0,13,Red,3,401,Copperhead Robotics,0,0,0,0,0,0,0,0,0,0,0,0,3,0,5,0,1,1,0,1,0,0,0,0,0,0,4,1,4,0,0,Very short cycle times and spends very little time at coral station,Brady Perkins,Fri Apr 04 2025 15:41:07 GMT-0400 (Eastern Daylight Time)
2025chcmp,0,14,Blue,1,8622,The CyBirds,0,0,0,0,1,0,0,0,0,0,0,0,0,0,4,0,0,0,1,0,0,0,0,0,0,0,0,0,2,0,2,,Isaac Hassett,Fri Apr 04 2025 15:48:04 GMT-0400 (Eastern Daylight Time)
2025chcmp,0,14,Blue,1,8622,The CyBirds,0,0,0,0,1,0,0,0,0,0,0,0,0,0,2,0,4,0,2,1,1,0,0,0,0,0,0,0,2,0,0,Can only score L3 and below. Only coral station.,Isaac Hassett,Sat Apr 05 2025 09:34:39 GMT-0400 (Eastern Daylight Time)
2025chcmp,0,14,Blue,2,346,RoboHawks,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,2,0,0,0,0,1,0,0,2,1,0,Unscored a piece of coral and got a piece stuck inside.,Aubrey Harbaugh,Fri Apr 04 2025 15:47:29 GMT-0400 (Eastern Daylight Time)
2025chcmp,0,14,Blue,2,346,RoboHawks,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,3,2,0,"coral got stuck and went to defend, not that good though",SP,Sat Apr 05 2025 09:34:51 GMT-0400 (Eastern Daylight Time)
2025chcmp,0,14,Blue,3,4638,Jagbots,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,,DJ,Fri Apr 04 2025 15:47:35 GMT-0400 (Eastern Daylight Time)
2025chcmp,0,14,Blue,3,4638,Jagbots,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,,DJ,Fri Apr 04 2025 15:47:36 GMT-0400 (Eastern Daylight Time)
2025chcmp,0,14,Blue,3,4638,Jagbots,0,0,0,0,1,0,0,0,0,0,0,0,3,1,2,0,0,0,0,0,0,0,0,0,0,0,2,1,3,0,3,Looks like their drive was damaged or glitched during the match,Aidan,Fri Apr 04 2025 15:48:12 GMT-0400 (Eastern Daylight Time)
2025chcmp,0,14,Red,1,8230,KoiBots,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,2,0,0,0,0,0,0,0,0,4,4,0,Pick up coral bot but had trouble picking it up went right to defense.,Megan,Fri Apr 04 2025 15:47:37 GMT-0400 (Eastern Daylight Time)
2025chcmp,0,14,Red,1,8230,KoiBots,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,4,1,1,0,0,,Pp,Sat Apr 05 2025 09:34:06 GMT-0400 (Eastern Daylight Time)
2025chcmp,0,14,Red,2,3748,Ragnarok Robotics,0,0,2,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,2,0,2,0,0,0,4,1,3,1,0,Coral got stuck in bot...shifted focus to algae,ZW,Fri Apr 04 2025 15:48:41 GMT-0400 (Eastern Daylight Time)
2025chcmp,0,14,Red,2,3748,Ragnarok Robotics,0,0,1,0,0,0,0,0,0,0,0,0,0,0,3,0,2,0,0,0,1,0,0,0,0,0,4,1,4,0,3,They scored in the lower parts of the reef bit could hang,Jaxon  Spoon,Sat Apr 05 2025 09:34:21 GMT-0400 (Eastern Daylight Time)
