"Shifts Auto Primary Role","Shifts Auto Secondary Role","Shifts Auto Fuel Pct","Shifts Auto Starting Position","Shifts Auto Climb","Shifts Transition Primary Role","Shifts Transition Secondary Role","Shifts Transition Fuel Pct","Shifts Transition Defense On","Shifts Shift1 Primary Role","Shifts Shift1 Secondary Role","Shifts Shift1 Fuel Pct","Shifts Shift1 Defense On","Shifts Shift2 Primary Role","Shifts Shift2 Secondary Role","Shifts Shift2 Fuel Pct","Shifts Shift2 Defense On","Shifts Shift3 Primary Role","Shifts Shift3 Secondary Role","Shifts Shift3 Fuel Pct","Shifts Shift3 Defense On","Shifts Shift4 Primary Role","Shifts Shift4 Secondary Role","Shifts Shift4 Fuel Pct","Shifts Shift4 Defense On","Shifts Endgame Primary Role","Shifts Endgame Secondary Role","Shifts Endgame Fuel Pct","Shifts Endgame Defense On","Shifts Endgame Climb"," Id"," Hash","  V","Alliance","Createdat","Event Key","Match Key","Match Number","No Show","Overall Shooter","Overall Passer","Overall Intake","Overall Driver","Overall Defense Avoidance","Overall Defense","Overall Notes","Scouter","Team Number","Updatedat"
"Idle","None","","Right Trench","Not Attempted","Idle","None","","None","Idle","None","","None","Idle","None","","None","Idle","None","","None","Idle","None","","None","Idle","None","","None","Not Attempted","69dac2b26596dd6511f9c662","719b7e30dc7f0a8bee32838bb5caa7ddc87f9d3c23a6ef941eabd1a6137439a4","","red","2026-04-11T21:52:50.607Z","2026chcmp","2026chcmp_qm91","91","","3","","3","3","","","","Arihan","3258","2026-04-11T21:52:50.607Z"
"Intake from Neutral Zone","None","","Left Trench","Not Attempted","Score","None","20","None","Idle","None","","None","Intake from Neutral Zone","Score","30","None","Intake from Neutral Zone","None","","None","Score","None","40","None","Idle","None","40","None","Not Attempted","69dac2136596dd6511f9c643","88ea66d1c9135e06ec974eee73d19bfe0e89056ef54d507853f396b7ea3423ec","","red","2026-04-11T21:50:11.594Z","2026chcmp","2026chcmp_qm91","91","","3","","2","2","","","If hopper is too full they can’t shoot at all can only shoot in specific locations as a turret.","Snithik","10004","2026-04-11T21:50:11.594Z"
"Score","Idle","100","Hub","Not Attempted","Intake from Neutral Zone","Intake from Neutral Zone","","None","Intake from Neutral Zone","Idle","","None","Score","Score","100","None","Intake from Neutral Zone","Idle","","None","Intake from Neutral Zone","Intake from Neutral Zone","","None","Score","Score","80","None","Not Attempted","69dac1f66596dd6511f9c63f","bf3de8e81f5114b5a8432ea7df8c245842357197693a5efd8241fbaa376c5e86","","red","2026-04-11T21:49:42.377Z","2026chcmp","2026chcmp_qm91","91","","","","","2","","","","Sai","5724","2026-04-11T21:49:42.377Z"
"Score","None","90","Hub","Not Attempted","Pass","None","","None","Pass","None","","None","Idle","None","","None","Idle","None","","None","Idle","None","","None","Idle","None","","None","Not Attempted","69dac1b06596dd6511f9c62c","e88785dff87e67a624ad03f13cb26b1eea0b29067e9072b282c9a047936edb95","","blue","2026-04-11T21:48:32.913Z","2026chcmp","2026chcmp_qm91","91","","3","3","","3","","","Passing and defence team.","Nidhish","1895","2026-04-11T21:48:32.913Z"
"Idle","Idle","","Right Trench","Not Attempted","Score","Pass","20","None","Pass","Pass","","None","Pass","Pass","","None","Pass","Defense","","None","Defense","Defense","","None","Defense","Defense","","None","Not Attempted","69dac1af6596dd6511f9c62b","65944ac242c52ff17c3146a339c091d9f1507e1d4db8795baded686b49b74525","","blue","2026-04-11T21:48:31.662Z","2026chcmp","2026chcmp_qm91","91","","2","3","","4","3","3","","Falco Carey","2537","2026-04-11T21:48:32.210Z"
"Idle","None","","Hub","Not Attempted","Defense","None","","None","Defense","None","","None","Defense","None","","None","Idle","None","","None","Pass","None","","None","Score","None","","None","Not Attempted","69dac0466596dd6511f9c5f0","c9fd06d79ecebee6b8d692b6f1611cbc0acb904c368193610efb1173153fa25d","","red","2026-04-11T21:42:30.160Z","2026chcmp","2026chcmp_qm90","90","","1","","1","3","","3","Don't pick this team please","Arihan","1111","2026-04-11T21:42:30.160Z"
"Intake from Neutral Zone","Score","60","Left Trench","Not Attempted","Intake from Neutral Zone","None","60","None","Idle","None","50","None","Idle","None","50","None","Idle","None","","None","Defense","None","","None","Idle","None","","None","Not Attempted","69dabfc56596dd6511f9c5de","69a5b0ea16a2bb4e3dc1d375c17c5912a831cd17fe613a46659b8ea9d0761f8d","","red","2026-04-11T21:40:21.444Z","2026chcmp","2026chcmp_qm90","90","","5","","3","4","","","Something happened to their robot most likely their intake broke.","Snithik","9072","2026-04-11T21:40:22.170Z"
"Intake from Neutral Zone","Score","90","Left Trench","Not Attempted","Pass","None","","None","Score","None","70","None","Intake from Neutral Zone","Pass","","None","Score","None","100","None","Intake from Neutral Zone","Pass","","None","Score","None","60","None","Not Attempted","69dabf776596dd6511f9c5ca","eddbb5c15db4aac7b9abb1de4177832c7a723ad8ac79d3cdf32c1a3035cd3853","","blue","2026-04-11T21:39:03.221Z","2026chcmp","2026chcmp_qm90","90","","4","3","3","4","","","Good shooter and strategy","Nidhish","888","2026-04-11T21:39:03.238Z"
"Intake from Neutral Zone","Score","50","Right Trench","Not Attempted","Score","Score","100","None","Intake from Neutral Zone","Intake from Neutral Zone","","None","Score","Intake from Neutral Zone","40","None","Intake from Neutral Zone","None","","None","Score","Score","50","None","Score","Score","50","None","Not Attempted","69dabf6a6596dd6511f9c5c8","24d476cb42727372d36983f47598519b7fd4b86e1fb07483ce52bae994b5c74e","","red","2026-04-11T21:38:50.029Z","2026chcmp","2026chcmp_qm90","90","","4","","4","4","","","","Sai","4099","2026-04-11T21:38:50.029Z"
"Intake from Neutral Zone","Idle","10","Right Trench","Not Attempted","Idle","Idle","","None","Idle","Pass","","Heavy","Defense","Defense","","None","Defense","Defense","","None","Idle","Idle","","None","Idle","Defense","","None","Not Attempted","69dabf556596dd6511f9c5c6","2eda80d7249594fc113abaa71856a49dd6638fb3a9aea3a4b06f15672c582899","","blue","2026-04-11T21:38:29.865Z","2026chcmp","2026chcmp_qm90","90","","","2","","3","","2","","Falco Carey","8590","2026-04-11T21:38:29.865Z"
"Intake from Neutral Zone","Score","80","Left Bump","Not Attempted","Intake from Neutral Zone","None","","None","Pass","None","","None","Defense","Pass","","None","Defense","None","","None","Pass","None","","None","Defense","None","","None","Not Attempted","69dabd2b6596dd6511f9c557","88970da4670e4b92f4730dced8821567d15614c1bb3696982971f0ddbe67630a","","blue","2026-04-11T21:29:15.535Z","2026chcmp","2026chcmp_qm89","89","","4","4","3","4","","2","Intake broke mid-way.  Good shooter and passing.","Nidhish","1086","2026-04-11T21:29:15.535Z"
"Score","None","20","Right Bump","Not Attempted","Score","None","40","None","Score","None","40","None","Score","None","30","None","Score","None","30","None","Score","None","30","None","Score","None","30","None","Not Attempted","69dabd176596dd6511f9c553","0731033534cf2c59c405857a62d8e5101baa6ba24690cb5954278f5ab4c4f01f","","red","2026-04-11T21:28:55.856Z","2026chcmp","2026chcmp_qm89","89","","3","","3","3","","","","Arihan","5243","2026-04-11T21:28:55.856Z"
"Intake from Neutral Zone","Score","20","Left Trench","Not Attempted","Intake from Neutral Zone","Score","20","None","Intake from Neutral Zone","Intake from Neutral Zone","10","None","Intake from Neutral Zone","Score","10","None","Defense","Defense","","None","Defense","Defense","","None","Intake from Neutral Zone","Score","10","None","Not Attempted","69dabcd56596dd6511f9c540","c41b44b17c6720bb6e05e7a80142e56e006fb0e0732f7358b8c22970290a2b1e","","red","2026-04-11T21:27:49.091Z","2026chcmp","2026chcmp_qm89","89","","","","","2","","","","Sai","5587","2026-04-11T21:27:49.091Z"
"Score","None","20","Hub","Not Attempted","Intake from Neutral Zone","None","10","None","Defense","None","","None","Idle","None","","None","Idle","None","","None","Intake from Neutral Zone","Pass","","None","Idle","None","","None","Not Attempted","69dabcb06596dd6511f9c53a","5c8ca35c48c839415e5667d3d29aa538097045083bcb232779401bbc53b2c87b","","red","2026-04-11T21:27:12.299Z","2026chcmp","2026chcmp_qm89","89","","1","","1","1","","1","Really bad overall.","Snithik","5587","2026-04-11T21:27:12.299Z"
"Intake from Neutral Zone","Intake from Neutral Zone","40","Right Trench","Not Attempted","Intake from Neutral Zone","Pass","","None","Intake from Neutral Zone","Pass","","None","Score","Intake from Neutral Zone","50","None","Intake from Neutral Zone","Intake from Neutral Zone","","None","Score","Score","70","None","Score","Score","60","None","Not Attempted","69dabcaa6596dd6511f9c538","d0f1f561b4b7b61e87b40f18b15976130504ff51a252ea95ceefe88d4726011d","","blue","2026-04-11T21:27:06.734Z","2026chcmp","2026chcmp_qm89","89","","4","4","3","3","","","","Falco Carey","1731","2026-04-11T21:27:06.734Z"
"Idle","None","","Hub","Not Attempted","Idle","None","","None","Score","None","10","None","Intake from Neutral Zone","None","","None","Idle","None","","None","Defense","None","","None","Score","None","40","None","Not Attempted","69dabb4a6596dd6511f9c4e9","20cbb1b9b85b5f126f780830172484451763afd5b5f332495343e6632421227e","","red","2026-04-11T21:21:14.663Z","2026chcmp","2026chcmp_qm88","88","","","","","3","","3","Mid","Arihan","2421","2026-04-11T21:21:14.663Z"
"Score","None","20","Left Trench","Not Attempted","Defense","Defense","","None","Defense","Defense","","None","Defense","Defense","","None","Defense","Defense","","None","Defense","Defense","","None","Defense","Defense","","None","Not Attempted","69dabaf56596dd6511f9c4dc","58bcc1ff0f3b282079141e405da6fc8c3583b1dacf1c3681efe40ac78fdd7cb9","","red","2026-04-11T21:19:49.894Z","2026chcmp","2026chcmp_qm88","88","","","","","4","","5","Pretty good at defense not gonna lie ","Sai","9033","2026-04-11T21:19:49.912Z"
"Intake from Neutral Zone","Score","50","Right Trench","Not Attempted","Intake from Neutral Zone","Score","60","None","Score","Intake from Neutral Zone","70","None","Intake from Neutral Zone","None","70","None","Score","Intake from Neutral Zone","80","None","Intake from Neutral Zone","None","80","None","Intake from Neutral Zone","None","80","None","Not Attempted","69dabae46596dd6511f9c4d7","953b8c996394c343b0c7d30987ccfc76af02024a444eba7a86fc212a06a11d11","","red","2026-04-11T21:19:32.579Z","2026chcmp","2026chcmp_qm88","88","","2","2","4","3","","","Okay not very good and had bad teammates.","Snithik","339","2026-04-11T21:19:32.579Z"
"Intake from Neutral Zone","Score","40","Left Trench","Not Attempted","Intake from Neutral Zone","None","","None","Pass","None","","Light","Score","None","80","None","Intake from Neutral Zone","Pass","","None","Score","None","40","Heavy","Score","None","50","None","Not Attempted","69dabac36596dd6511f9c4c5","34d523c3e8bb0d54bafc18bb8810e44c84d7918b1b16d673259b4981eccf62bf","","blue","2026-04-11T21:18:59.639Z","2026chcmp","2026chcmp_qm88","88","","4","","3","3","","","Good shooter and intake.","Nidhish","5338","2026-04-11T21:18:59.639Z"
"Idle","Idle","","Hub","Not Attempted","Intake from Neutral Zone","Intake from Neutral Zone","","None","Pass","Intake from Neutral Zone","20","None","Score","Score","10","None","Intake from Neutral Zone","Intake from Neutral Zone","","None","Score","Score","","None","Pass","Idle","","Heavy","Not Attempted","69dabab26596dd6511f9c4c0","c87d7a09078d502dfae540606d58c22497b3e4e955b59c4f6aae00472d528a1f","","blue","2026-04-11T21:18:42.531Z","2026chcmp","2026chcmp_qm88","88","","1","2","1","3","1","1","","Falco Carey","11318","2026-04-11T21:18:42.531Z"
"Score","Intake from Neutral Zone","40","Right Bump","Not Attempted","Idle","None","","None","Intake from Neutral Zone","None","","None","Pass","Intake from Neutral Zone","","None","Intake from Neutral Zone","Pass","","None","Pass","Intake from Neutral Zone","","None","Score","None","30","None","Not Attempted","69dabab06596dd6511f9c4bf","d7e9598565b31cdf99924d7a4e15e5d7b2cfa5719aa018519996ce3818bc388d","","blue","2026-04-11T21:18:40.920Z","2026chcmp","2026chcmp_qm88","88","","3","3","3","4","3","","","lucas","614","2026-04-11T21:18:40.920Z"
"Intake from Neutral Zone","Score","40","Hub","Not Attempted","Intake from Neutral Zone","Score","40","None","Intake from Neutral Zone","Intake from Neutral Zone","","None","Score","Score","40","None","Intake from Neutral Zone","Intake from Neutral Zone","","None","Score","Score","20","None","Score","None","30","None","Not Attempted","69dab97c6596dd6511f9c486","16db2cc0c9a866830fe4c4de371eada47cd3ba4c5a5bf08da60c06a48d18d0b7","","red","2026-04-11T21:13:32.109Z","2026chcmp","2026chcmp_qm87","87","","","","","3","","","","Sai","122","2026-04-11T21:13:32.109Z"
"Score","None","30","Hub","Not Attempted","Score","Intake from Neutral Zone","40","None","Intake from Neutral Zone","None","","None","Score","None","40","None","Pass","Intake from Neutral Zone","","None","Score","None","40","None","Score","None","40","None","Not Attempted","69dab95e6596dd6511f9c477","a7ca2b9c6c470a2ed9094cec6c4a9124556c98390a4df1f7b351b3b02a3170c5","","blue","2026-04-11T21:13:02.318Z","2026chcmp","2026chcmp_qm87","87","","4","4","3","4","","","Good shooter and passing.","Nidhish","1727","2026-04-11T21:13:02.318Z"
"Idle","None","","Hub","Not Attempted","Intake from Neutral Zone","None","","None","Defense","None","","None","Defense","None","","None","Defense","None","","None","Idle","None","","None","Idle","None","","None","Not Attempted","69dab9176596dd6511f9c46a","d0f2716a7275ba1c860ff2a263bc8b542730a4877e105ec77a1e8dd6ed22eb24","","red","2026-04-11T21:11:51.462Z","2026chcmp","2026chcmp_qm87","87","","1","","2","2","","3","Good defense against shooters that are not turrets.","Snithik","5804","2026-04-11T21:11:51.462Z"
"Score","None","40","Right Bump","Not Attempted","Score","None","40","None","Score","None","40","None","Intake from Neutral Zone","None","","None","Score","None","40","None","Intake from Neutral Zone","None","","None","Score","None","50","None","Not Attempted","69dab9016596dd6511f9c465","a535a54ee8e39dc77fac5d7ef9c0b6ee6456366109424bb416bedf4bb7a71bad","","red","2026-04-11T21:11:29.952Z","2026chcmp","2026chcmp_qm87","87","","4","","3","3","","","","Arihan","346","2026-04-11T21:11:29.952Z"
"Intake from Neutral Zone","Score","20","Right Trench","Not Attempted","Intake from Neutral Zone","Score","20","None","Intake from Neutral Zone","Score","30","None","Score","Score","20","Light","Intake from Neutral Zone","Pass","","Moderate","Score","Score","10","None","Score","Score","10","None","Not Attempted","69dab8fd6596dd6511f9c464","c1978d679f704707472acaad1701b468eba2b0b6e7db7a605291e822b2336c97","","blue","2026-04-11T21:11:25.815Z","2026chcmp","2026chcmp_qm87","87","","3","3","3","3","2","2","","Falco Carey","401","2026-04-11T21:11:25.815Z"
"Score","Idle","40","Hub","Not Attempted","Intake from Neutral Zone","None","","None","Score","None","70","None","Intake from Neutral Zone","Defense","","None","Score","None","30","None","Intake from Neutral Zone","None","","None","Score","None","40","None","Not Attempted","69dab7616596dd6511f9c417","4f1732924912ab27b7fe9222a1504abd27a75663c6b8cc2c0eb84014a8f8f3f2","","blue","2026-04-11T21:04:33.470Z","2026chcmp","2026chcmp_qm86","86","","5","","3","4","","1","Slow drivetrain. ","Nidhish","3136","2026-04-11T21:04:33.470Z"
"Intake from Neutral Zone","Score","40","Right Trench","Not Attempted","Idle","None","40","None","Intake from Neutral Zone","Pass","40","None","Score","None","40","None","Intake from Neutral Zone","Pass","40","None","Score","None","50","None","Score","Intake from Neutral Zone","50","None","Not Attempted","69dab7506596dd6511f9c40f","da096faaf9ca5302be451c4519db01739a863e5e808ae4866c74f1af62493c9d","","red","2026-04-11T21:04:16.178Z","2026chcmp","2026chcmp_qm86","86","","4","4","4","4","","","Good robot with good team.","Snithik","11415","2026-04-11T21:04:16.178Z"
"Score","Score","20","Hub","Not Attempted","Intake from Neutral Zone","Pass","","None","Defense","Defense","","None","Defense","Defense","","None","Defense","Defense","","None","Defense","Defense","","None","Idle","Pass","","None","Not Attempted","69dab74c6596dd6511f9c40b","9afcbcc605b90d4353e1f71094be1fb766e50e3ab9223654ee91c10119cc3a59","","red","2026-04-11T21:04:12.826Z","2026chcmp","2026chcmp_qm86","86","","","","","3","","","Basically heavy drive train ","Sai","10679","2026-04-11T21:04:12.826Z"
"Score","None","60","Left Trench","Not Attempted","Score","None","80","None","Pass","None","","None","Score","None","80","None","Pass","None","80","None","Score","None","60","None","Score","None","60","None","Not Attempted","69dab7476596dd6511f9c407","23412b236e62ecf458a3b29432a9fe67abb449af46a52ef1e19fd5bede20f920","","red","2026-04-11T21:04:07.238Z","2026chcmp","2026chcmp_qm86","86","","5","5","5","5","","","","Arihan","836","2026-04-11T21:04:07.238Z"
"Score","Score","10","Hub","Not Attempted","Intake from Neutral Zone","Intake from Neutral Zone","","None","Score","Score","20","None","Intake from Neutral Zone","Intake from Neutral Zone","","None","Score","Score","","None","Intake from Neutral Zone","Intake from Neutral Zone","","None","Score","Score","20","None","Not Attempted","69dab72c6596dd6511f9c3fc","eb3a6c3a6a093b08131c108828fd78a0f3c27ed7d3703f873cd21aeec9575b84","","blue","2026-04-11T21:03:40.590Z","2026chcmp","2026chcmp_qm86","86","","2","","3","3","","","","Falco Carey","4472","2026-04-11T21:03:40.590Z"
"Score","None","40","Hub","Not Attempted","Intake from Neutral Zone","None","","None","Pass","Score","50","None","Intake from Neutral Zone","None","","None","Score","None","50","None","Intake from Neutral Zone","Pass","","None","Score","None","50","None","Not Attempted","69dab6316596dd6511f9c3cf","be8d8a5ab6e26509477dc924b76c8d17f68b02cc0b4508542a8f67fcc1ee4a4f","","red","2026-04-11T20:59:29.743Z","2026chcmp","2026chcmp_qm85","85","","3","2","3","3","","","Average nothing special.","Snithik","4541","2026-04-11T20:59:32.843Z"
"Intake from Neutral Zone","None","","Hub","Not Attempted","Intake from Neutral Zone","Score","50","None","Pass","Intake from Neutral Zone","","None","Score","None","30","None","Pass","None","","None","Score","None","30","None","Pass","Score","10","None","Not Attempted","69dab5656596dd6511f9c3a5","efb40a0d838ae63355e91ea6ef3ad52172372bbbf72c8a46a66c6c43483ddaf8","","blue","2026-04-11T20:56:05.285Z","2026chcmp","2026chcmp_qm85","85","","3","3","2","2","","","Bad","Nidhish","10004","2026-04-11T20:56:05.285Z"
"Score","Score","10","Right Bump","L1 Attempted","Intake from Neutral Zone","Intake from Neutral Zone","","None","Score","Score","50","None","Intake from Neutral Zone","Intake from Neutral Zone","","None","Score","Score","50","None","Intake from Neutral Zone","Intake from Neutral Zone","","None","Score","Score","60","None","Not Attempted","69dab5496596dd6511f9c3a0","410bd65b2352d1317e45bb695ae78e9028bfab0762b9c327344537dee7816471","","red","2026-04-11T20:55:37.189Z","2026chcmp","2026chcmp_qm85","85","","3","","3","4","","","","Sai","2890","2026-04-11T20:55:37.189Z"
"Idle","None","","Left Bump","Not Attempted","Idle","None","","None","Idle","None","","None","Defense","None","","None","Idle","None","","None","Defense","None","","None","Idle","None","","None","Not Attempted","69dab5456596dd6511f9c39d","58f34741dc1f5602fc13c7c85b29b90308db758f4fbb973375988da88479918f","","red","2026-04-11T20:55:33.008Z","2026chcmp","2026chcmp_qm85","85","","","","","4","","4","","Arihan","11425","2026-04-11T20:55:33.008Z"
"Intake from Neutral Zone","Score","80","Left Trench","Not Attempted","Intake from Neutral Zone","Pass","","Light","Intake from Neutral Zone","Intake from Neutral Zone","","Moderate","Score","Score","60","None","Intake from Neutral Zone","Pass","","None","Score","Score","70","None","Intake from Neutral Zone","Score","70","None","Not Attempted","69dab5356596dd6511f9c394","ac55808844c966333161af88c54d2e2387568d0ff3d075f0fc27bc6812101c09","","blue","2026-04-11T20:55:17.257Z","2026chcmp","2026chcmp_qm85","85","","3","4","5","4","","","","Falco Carey","422","2026-04-11T20:55:17.257Z"
"Idle","None","","Hub","Not Attempted","Idle","None","","None","Idle","None","","None","Defense","None","","None","Score","Idle","50","None","Idle","None","","None","Idle","None","","None","Not Attempted","69dab3956596dd6511f9c330","772a91d25c2da271efca86679dd6ccd98a01f9edc70d38c3b5fff6e7f815c894","","red","2026-04-11T20:48:21.356Z","2026chcmp","2026chcmp_qm84","84","","3","","3","3","","3","Very mid and went idle many times.","Snithik","1895","2026-04-11T20:48:21.356Z"
"Score","Score","10","Left Bump","Not Attempted","Pass","None","","None","Intake from Neutral Zone","Score","10","None","Defense","Defense","","None","Pass","None","","None","Defense","Defense","","None","Pass","Score","10","None","Not Attempted","69dab38f6596dd6511f9c32f","f67902b17f00d4af4f8d35bf0bc889f60f4222677203762551a4938531d58be7","","red","2026-04-11T20:48:15.605Z","2026chcmp","2026chcmp_qm84","84","","","","","2","","","","Sai","2068","2026-04-11T20:48:15.605Z"
"Intake from Neutral Zone","Score","70","Hub","Not Attempted","Intake from Neutral Zone","None","","None","Pass","None","","None","Score","None","100","Moderate","Intake from Neutral Zone","None","","Light","Score","None","80","Heavy","Score","None","100","None","Not Attempted","69dab3826596dd6511f9c32d","3812247009f79d6c860e586a5ba6c14bcb21ad731a1e81e45af6c7c3b65ebaac","","blue","2026-04-11T20:48:02.053Z","2026chcmp","2026chcmp_qm84","84","","5","","3","4","3","","Great shooter and strategy. ","Nidhish","2199","2026-04-11T20:48:02.053Z"
"Score","Score","10","Hub","Not Attempted","Pass","Pass","","None","Pass","Pass","","None","Pass","Defense","","None","Pass","Pass","","None","Pass","Defense","","None","Pass","Defense","","None","Not Attempted","69dab3686596dd6511f9c328","402763916e784284b42cef47888bba73e2b3a32ece22cda468a14ca0143ce759","","blue","2026-04-11T20:47:36.275Z","2026chcmp","2026chcmp_qm84","84","","1","2","","2","1","1","","Falco Carey","1719","2026-04-11T20:47:36.849Z"
"Score","None","40","Hub","Not Attempted","Score","None","40","None","Score","None","40","None","Intake from Neutral Zone","None","","None","Score","None","40","None","Intake from Neutral Zone","None","","None","Score","None","40","None","Not Attempted","69dab3636596dd6511f9c327","804c5494be9301c81d5f71d25b71d9df5136f1abcfad98bac84490f6ae236b5f","","red","2026-04-11T20:47:31.697Z","2026chcmp","2026chcmp_qm84","84","","3","","3","4","","","","Arihan","3748","2026-04-11T20:47:31.697Z"
